	model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0	CNRG	1	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
1	CNRG	2	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
2	CNRG	3	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
3	CNRG	4	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
4	CNRG	5	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
5	CNRG	6	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
6	CNRG	7	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
7	CNRG	8	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
8	CNRG	9	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
9	CNRG	10	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
10	CNRG	11	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
11	CNRG	12	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
12	CNRG	13	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
13	CNRG	14	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
14	CNRG	15	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
15	CNRG	16	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
16	CNRG	17	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
17	CNRG	18	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
18	CNRG	19	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
19	CNRG	20	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
