model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Chung-Lu	1	0.9785714285714284	0.9785714285714284	0.9785714285714284	0.9785714285714284	0.9785714285714284	0.9785714285714284
Chung-Lu	2	0.9678571428571426	0.9678571428571426	0.9678571428571426	0.9928571428571427	0.9928571428571427	0.9928571428571427
Chung-Lu	3	0.9678571428571426	0.9678571428571426	0.9678571428571426	1.0	1.0	1.0
Chung-Lu	4	0.9678571428571426	0.9678571428571426	0.9678571428571426	1.0	1.0	1.0
Chung-Lu	5	0.9678571428571426	0.9678571428571426	0.9678571428571426	1.0	1.0	1.0
Chung-Lu	6	0.9678571428571426	0.9678571428571426	0.9678571428571426	1.0	1.0	1.0
Chung-Lu	7	0.9678571428571426	0.9678571428571426	0.9678571428571426	1.0	1.0	1.0
Chung-Lu	8	0.9678571428571426	0.9678571428571426	0.9678571428571426	1.0	1.0	1.0
Chung-Lu	9	0.9658571428571426	0.9644340886834553	0.96728019703083	0.9994999999999998	0.999144236456578	0.9998557635434216
Chung-Lu	10	0.9535714285714285	0.9535714285714285	0.9535714285714285	0.9969285714285712	0.9965728078851493	0.997284334971993
Chung-Lu	11	0.9465714285714282	0.9462843463950725	0.9468585107477838	0.9964999999999997	0.9963564589118219	0.9966435410881775
Chung-Lu	12	0.9457857142857139	0.94505523314947	0.9465161954219578	0.9997142857142856	0.9994361305639545	0.9999924408646166
Chung-Lu	13	0.9363571428571424	0.9356266617208986	0.9370876239933863	0.9968571428571427	0.9965239619105714	0.997190323803714
Chung-Lu	14	0.9357142857142853	0.9357142857142853	0.9357142857142853	0.9997857142857143	0.999542220573633	1.0000292079977955
Chung-Lu	15	0.9357142857142853	0.9357142857142853	0.9357142857142853	1.0	1.0	1.0
Chung-Lu	16	0.9348571428571424	0.9340226774061492	0.9356916083081356	0.9997142857142856	0.9994361305639545	0.9999924408646166
Chung-Lu	17	0.9357142857142853	0.9357142857142853	0.9357142857142853	0.9997142857142856	0.9994361305639545	0.9999924408646166
Chung-Lu	18	0.9305714285714282	0.9279441152613891	0.9331987418814672	0.9982857142857142	0.9974099431823679	0.9991614853890606
Chung-Lu	19	0.9035714285714286	0.899729655107036	0.9074132020358212	0.9892142857142856	0.9879755885997307	0.9904529828288405
Chung-Lu	20	0.8965000000000001	0.8950429284461977	0.8979570715538024	0.9963571428571427	0.9951355367535936	0.9975787489606919
