model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BTER	1	0.9865300002896071	0.9860715858428869	0.9869884147363274	0.9865300002896071	0.9860715858428869	0.9869884147363274
BTER	2	0.9867855590936198	0.9862845550014497	0.9872865631857898	0.9991982507288627	0.9987657900795145	0.9996307113782109
BTER	3	0.9863839666873143	0.985905424249926	0.9868625091247026	0.9994897959183673	0.999127108808792	0.9998524830279426
BTER	4	0.9857268154769964	0.984891077039228	0.9865625539147648	0.9991253644314867	0.9986329190162201	0.9996178098467533
BTER	5	0.986018882681582	0.9850944936932227	0.9869432716699413	0.9987609329446063	0.9981855270387937	0.999336338850419
BTER	6	0.9859458658804356	0.9848113480068914	0.9870803837539799	0.9992711370262389	0.9988038665236091	0.9997384075288688
BTER	7	0.986493491889034	0.9858132562727818	0.9871737275052862	0.9990524781341107	0.9984685815415322	0.9996363747266892
BTER	8	0.9857633238775696	0.9843253526825181	0.9872012950726211	0.9985422740524781	0.9978828093005733	0.9992017388043829
BTER	9	0.9860918994827287	0.9848902068759127	0.9872935920895447	0.9989067055393586	0.9983446738469157	0.9994687372318014
BTER	10	0.9864204750878875	0.9851319601416156	0.9877089900341595	0.9990524781341107	0.9985948830168151	0.9995100732514063
BTER	11	0.9864569834884607	0.9853873497794466	0.9875266171974747	0.9989067055393585	0.9983851383719107	0.9994282727068062
BTER	12	0.9857268154769964	0.9845195309711715	0.9869340999828212	0.9988338192419823	0.9983045878197395	0.9993630506642251
BTER	13	0.9859458658804356	0.984674188112589	0.9872175436482823	0.9989067055393586	0.9983851383719108	0.9994282727068063
BTER	14	0.9856537986758498	0.9842802705619031	0.9870273267897964	0.9987609329446063	0.9981137957236512	0.9994080701655614
BTER	15	0.9859823742810089	0.9845816545669046	0.9873830939951131	0.9991253644314868	0.9985902478085271	0.9996604810544465
BTER	16	0.9859458658804356	0.984674188112589	0.9872175436482823	0.9995626822157434	0.9992229252979439	0.9999024391335429
BTER	17	0.9862744414855947	0.985045043704192	0.9875038392669975	0.9985422740524781	0.9977896548270679	0.9992948932778882
BTER	18	0.9858728490792893	0.9845003020569778	0.9872453961016008	0.9986151603498541	0.9978091478753037	0.9994211728244045
BTER	19	0.9859823742810089	0.9845816545669046	0.9873830939951131	0.9988338192419823	0.9981589302504497	0.999508708233515
BTER	20	0.9854712566729839	0.9839782108846955	0.9869643024612722	0.998469387755102	0.9977440135359513	0.9991947619742526
