dataset	model	gen	portrait_js	ci_lower	ci_upper
eucore	BTER	1	0.40730470286592946	0.403542662071333	0.41106674366052615
eucore	BTER	2	0.43748229542379335	0.43316776925756	0.44179682159002637
eucore	BTER	3	0.47154280508482876	0.46705550942944335	0.47603010074021407
eucore	BTER	4	0.4973606916193502	0.4927506997900722	0.5019706834486286
eucore	BTER	5	0.5119674449033736	0.5064941049920378	0.5174407848147097
eucore	BTER	6	0.5134469801922446	0.5089208704652377	0.5179730899192514
eucore	BTER	7	0.5175196675145025	0.5130747823786854	0.5219645526503198
eucore	BTER	8	0.5313366285118467	0.5279279477146794	0.534745309309014
eucore	BTER	9	0.5456307659970187	0.5413136327668527	0.5499478992271848
eucore	BTER	10	0.5493846726510858	0.544104468450602	0.5546648768515696
eucore	BTER	11	0.5520845192765895	0.5479720705742311	0.5561969679789484
eucore	BTER	12	0.5582668379434285	0.5537862383387572	0.5627474375481
eucore	BTER	13	0.5723267728968665	0.568812745671831	0.575840800121902
eucore	BTER	14	0.5766360339552046	0.572169919085901	0.5811021488245084
eucore	BTER	15	0.5733609788834234	0.5692102791100057	0.5775116786568412
eucore	BTER	16	0.5772703902900574	0.5737953155547376	0.5807454650253773
eucore	BTER	17	0.586247578796682	0.582540327666492	0.5899548299268722
eucore	BTER	18	0.5918227635423612	0.5872326539771332	0.5964128731075894
eucore	BTER	19	0.5932811336161963	0.5881371047239037	0.5984251625084891
eucore	BTER	20	0.5966861913127673	0.5925582173170645	0.6008141653084702
eucore	BUGGE	1	0.9399676233703569	0.9383294611318163	0.9416057856088975
eucore	BUGGE	2	0.9534104157648027	0.9520571403211944	0.9547636912084105
eucore	BUGGE	3	0.9542107916105033	0.9524990141202252	0.9559225691007811
eucore	BUGGE	4	0.9566751430472645	0.9552860448572897	0.9580642412372391
eucore	BUGGE	5	0.9554433074572666	0.9538773089524976	0.9570093059620365
eucore	BUGGE	6	0.9544250948344114	0.9528371411862815	0.9560130484825413
eucore	BUGGE	7	0.9559470674227627	0.9544240569069705	0.9574700779385549
eucore	BUGGE	8	0.9556980246298667	0.9540059856371241	0.9573900636226098
eucore	BUGGE	9	0.9589253264618937	0.9570688175553256	0.9607818353684615
eucore	BUGGE	10	0.9566446252484139	0.9548172914796895	0.9584719590171378
eucore	BUGGE	11	0.9560796817268427	0.9543059581493901	0.9578534053042952
eucore	BUGGE	12	0.9573847606480461	0.9559249856865183	0.9588445356095735
eucore	BUGGE	13	0.9575010389865181	0.955777666526682	0.9592244114463542
eucore	BUGGE	14	0.9571419962766737	0.9556072936076134	0.958676698945734
