dataset	model	gen	pgd_rgfd	ci_lower	ci_upper
eucore	BTER	1	0.019157404621920466	0.01906864921093016	0.01924616003291078
eucore	BTER	2	0.033678298761785505	0.033521329301828634	0.03383526822174236
eucore	BTER	3	0.04408965000746736	0.043814015304596006	0.04436528471033876
eucore	BTER	4	0.051616123014222984	0.051346335759883774	0.051885910268562166
eucore	BTER	5	0.0576093851616761	0.05737374097628882	0.057845029347063384
eucore	BTER	6	0.0635984702413141	0.06333398080792495	0.06386295967470325
eucore	BTER	7	0.06928013616141665	0.06897915638825425	0.06958111593457905
eucore	BTER	8	0.07435239889259117	0.07404389072556453	0.07466090705961781
eucore	BTER	9	0.07865460851153618	0.07832361032279835	0.07898560670027398
eucore	BTER	10	0.08279940653838289	0.08244748875746366	0.08315132431930211
eucore	BTER	11	0.08690942529614286	0.08656249580742764	0.08725635478485813
eucore	BTER	12	0.09066065247664165	0.09034911286153197	0.09097219209175134
eucore	BTER	13	0.09395452246070976	0.09364732007365231	0.09426172484776721
eucore	BTER	14	0.09718290204479779	0.09689831557981562	0.0974674885097799
eucore	BTER	15	0.10052570285674758	0.10022444499060511	0.10082696072289006
eucore	BTER	16	0.10358920744964652	0.1032752650774918	0.10390314982180127
eucore	BTER	17	0.10646165791788961	0.10612882753430505	0.10679448830147414
eucore	BTER	18	0.10908750975170835	0.10874412238754967	0.10943089711586697
eucore	BTER	19	0.1117806051560181	0.11142125781731352	0.11213995249472267
eucore	BTER	20	0.11435012189914084	0.11398371059471127	0.11471653320357036
eucore	BUGGE	1	0.2824789543154753	0.2803756957028922	0.2845822129280582
eucore	BUGGE	2	0.28960840248479053	0.2881409273954536	0.29107587757412734
eucore	BUGGE	3	0.2903962540153367	0.2888663056655107	0.2919262023651627
eucore	BUGGE	4	0.291548173557799	0.29021667476863916	0.29287967234695894
eucore	BUGGE	5	0.2902265436603194	0.28891982153444457	0.29153326578619426
eucore	BUGGE	6	0.28989672258006655	0.2885844434994402	0.291209001660693
eucore	BUGGE	7	0.290210911554286	0.28851341117479234	0.2919084119337798
eucore	BUGGE	8	0.29074182205657645	0.2893659411925474	0.2921177029206054
eucore	BUGGE	9	0.292061038722756	0.2905853427037767	0.2935367347417356
eucore	BUGGE	10	0.29197432365312004	0.2904483736837535	0.2935002736224867
eucore	BUGGE	11	0.2906316154992835	0.2889205381380617	0.29234269286050535
eucore	BUGGE	12	0.29145242545525457	0.28997573445094676	0.29292911645956216
eucore	BUGGE	13	0.2910358155623627	0.28946875104218844	0.2926028800825368
eucore	BUGGE	14	0.2926368984101266	0.2914104324137844	0.29386336440646865
eucore	BUGGE	15	0.29248545957076233	0.2910387766707006	0.2939321424708243
eucore	BUGGE	16	0.2939355555093653	0.2928814031136237	0.294989707905107
eucore	BUGGE	17	0.2930250669527918	0.29145919034201095	0.2945909435635724
eucore	BUGGE	18	0.29343115530572583	0.29224919312515885	0.2946131174862927
eucore	BUGGE	19	0.2944731711588801	0.2932975341930723	0.2956488081246879
eucore	BUGGE	20	0.2941612128173514	0.2930204492859201	0.29530197634878264
eucore	CNRG	1	0.03234416570093235	0.03130300817921845	0.03338532322264624
eucore	CNRG	2	0.056943044225353144	0.05577002556383516	0.05811606288687113
eucore	CNRG	3	0.07649493963834052	0.07517659279213629	0.07781328648454475
eucore	CNRG	4	0.09070236596873141	0.08926309360746072	0.09214163833000207
eucore	CNRG	5	0.10273175873181517	0.10120372077632565	0.10425979668730469
eucore	CNRG	6	0.11187569681498902	0.11037284003549068	0.11337855359448727
eucore	CNRG	7	0.11842372853977617	0.11683919755421687	0.12000825952533542
eucore	CNRG	8	0.12410584694523438	0.12232134826675284	0.12589034562371595
eucore	CNRG	9	0.1293538961026044	0.12754135509016173	0.13116643711504705
eucore	CNRG	10	0.13348859788412729	0.13164080332666858	0.13533639244158593
eucore	CNRG	11	0.13682430725536182	0.13499168031893033	0.13865693419179326
eucore	CNRG	12	0.1397431905059752	0.13775790185933456	0.14172847915261583
eucore	CNRG	13	0.14225725225594194	0.14023572874152337	0.1442787757703605
eucore	CNRG	14	0.1446899748285039	0.14255309641976846	0.1468268532372393
eucore	CNRG	15	0.1463445734291642	0.14407790793351463	0.14861123892481368
eucore	CNRG	16	0.14797027547196595	0.1456492998841369	0.15029125105979493
eucore	CNRG	17	0.1500914116888933	0.14775037941930214	0.15243244395848443
eucore	CNRG	18	0.1519902082765908	0.1496391514880067	0.1543412650651749
eucore	CNRG	19	0.15314727271513456	0.15079062171375224	0.15550392371651683
eucore	CNRG	20	0.15518661444641432	0.15280174482544814	0.1575714840673804
eucore	Chung-Lu	1	0.021155044753464285	0.02101591448053593	0.02129417502639264
eucore	Chung-Lu	2	0.036590147547624276	0.03640430112660182	0.03677599396864672
eucore	Chung-Lu	3	0.04967790306116913	0.0494827759767291	0.049873030145609155
eucore	Chung-Lu	4	0.06101910492203805	0.060795526910752615	0.06124268293332345
eucore	Chung-Lu	5	0.07103079655615203	0.07078539641358753	0.07127619669871657
eucore	Chung-Lu	6	0.07994382297471347	0.07968528323926564	0.08020236271016125
eucore	Chung-Lu	7	0.08794929929823395	0.08768927063267735	0.08820932796379059
eucore	Chung-Lu	8	0.09524041599405891	0.09498283231104146	0.09549799967707631
eucore	Chung-Lu	9	0.10190879815933902	0.10163938825552574	0.10217820806315231
eucore	Chung-Lu	10	0.10799171520440533	0.10772339194242546	0.10826003846638522
eucore	Chung-Lu	11	0.11378170938164853	0.11349829249040957	0.11406512627288742
eucore	Chung-Lu	12	0.11911540055406404	0.11882223112201064	0.11940856998611739
eucore	Chung-Lu	13	0.12415090931461897	0.12384636985987689	0.12445544876936106
eucore	Chung-Lu	14	0.12885954070496047	0.1285415686219438	0.1291775127879772
eucore	Chung-Lu	15	0.13330663866804024	0.1329930763679805	0.13362020096810004
eucore	Chung-Lu	16	0.13752239871145233	0.1372158556616305	0.13782894176127417
eucore	Chung-Lu	17	0.14141314586916343	0.14111346411175676	0.14171282762657014
eucore	Chung-Lu	18	0.14515510053476	0.14485259362374703	0.14545760744577296
eucore	Chung-Lu	19	0.14871722458807574	0.1484185782287493	0.14901587094740218
eucore	Chung-Lu	20	0.15209628134276876	0.1518069410104252	0.15238562167511238
eucore	Erdos-Renyi	1	0.042120950417540465	0.041493686180916055	0.04274821465416485
eucore	Erdos-Renyi	2	0.04202968318480897	0.04109605388767386	0.042963312481944085
eucore	Erdos-Renyi	3	0.042069240045230334	0.04088765353483487	0.0432508265556258
eucore	Erdos-Renyi	4	0.04213628371464999	0.04073547157576872	0.043537095853531244
eucore	Erdos-Renyi	5	0.04141376320161572	0.03981657024861601	0.043010956154615435
eucore	Erdos-Renyi	6	0.041853235249238126	0.0400671742302364	0.04363929626823982
eucore	Erdos-Renyi	7	0.04149111780626076	0.039420697762457026	0.043561537850064495
eucore	Erdos-Renyi	8	0.04151335935831166	0.0392289939821887	0.043797724734434614
eucore	Erdos-Renyi	9	0.0414165054852538	0.03906854522672192	0.043764465743785695
eucore	Erdos-Renyi	10	0.041284077803140154	0.03886793642536633	0.04370021918091396
eucore	Erdos-Renyi	11	0.04129337458658983	0.038785424815707056	0.043801324357472624
eucore	Erdos-Renyi	12	0.041601147471740305	0.039140953285371635	0.04406134165810899
eucore	Erdos-Renyi	13	0.04099369620433885	0.03848577974275977	0.04350161266591791
eucore	Erdos-Renyi	14	0.04137633520847493	0.03874655481045227	0.044006115606497594
eucore	Erdos-Renyi	15	0.04133308229056948	0.038764767566320746	0.04390139701481824
eucore	Erdos-Renyi	16	0.04172200182476327	0.039189077023461784	0.044254926626064735
eucore	Erdos-Renyi	17	0.04215322758654607	0.03943848682341694	0.0448679683496752
eucore	Erdos-Renyi	18	0.04285879808557207	0.04000083266793545	0.045716763503208684
eucore	Erdos-Renyi	19	0.04325311201248953	0.040333494866043124	0.04617272915893593
eucore	Erdos-Renyi	20	0.043220983774692766	0.0403662029283145	0.04607576462107102
eucore	GCN_AE	1	1.6671769150038784	1.659742654680464	1.6746111753272934
eucore	GCN_AE	2	1.8573668930111549	1.8384636146555955	1.8762701713667147
eucore	GCN_AE	3	1.869515381767573	1.8477603441609616	1.8912704193741834
eucore	GCN_AE	4	1.884372520978559	1.8630432008938	1.9057018410633177
eucore	GCN_AE	5	1.900378768836855	1.8770918218878911	1.923665715785818
eucore	GCN_AE	6	1.9104442544109264	1.8880128692342264	1.9328756395876245
eucore	GCN_AE	7	1.9166976740433694	1.8942274698455934	1.9391678782411446
eucore	GCN_AE	8	1.9193395735981225	1.8967807530740026	1.9418983941222423
eucore	GCN_AE	9	1.9195653373178205	1.897065305483257	1.9420653691523837
eucore	GCN_AE	10	1.9198083730376374	1.8973943874434638	1.9422223586318101
eucore	GCN_AE	11	1.9198176736030406	1.8974065570833052	1.942228790122776
eucore	GCN_AE	12	1.9226592759412648	1.9002577179935274	1.9450608338890023
eucore	GCN_AE	13	1.9256224979407088	1.903295701798247	1.9479492940831702
eucore	GCN_AE	14	1.9256287262317713	1.9033039300964356	1.947953522367107
eucore	GCN_AE	15	1.9256507356068928	1.9033329522516307	1.9479685189621545
eucore	GCN_AE	16	1.925649042199591	1.9033307223134248	1.9479673620857583
eucore	GCN_AE	17	1.9256489701226425	1.9033306273887407	1.9479673128565442
eucore	GCN_AE	18	1.9256489701226425	1.9033306273887407	1.9479673128565442
eucore	GCN_AE	19	1.9256489701226425	1.9033306273887407	1.9479673128565442
eucore	GCN_AE	20	1.9256489701226425	1.9033306273887407	1.9479673128565442
