dataset	model	gen	lambda_dist	ci_lower	ci_upper
flights	BTER	1	258.67348182432636	256.96234699523495	260.3846166534179
flights	BTER	2	386.20008159074706	384.2390762345588	388.1610869469353
flights	BTER	3	456.7085431189036	454.70783542122354	458.7092508165837
flights	BTER	4	500.69566946021985	498.49362283720643	502.8977160832336
flights	BTER	5	541.1354231068606	539.0244045488082	543.2464416649129
flights	BTER	6	575.9733415965965	574.0072705775038	577.9394126156891
flights	BTER	7	604.4930459912442	602.6395905512563	606.3465014312321
flights	BTER	8	627.3634599688444	625.7357018441752	628.9912180935138
flights	BTER	9	646.1940841858786	644.7697881221698	647.6183802495875
flights	BTER	10	663.38662318875	661.9011493832877	664.8720969942119
flights	BTER	11	679.3917613891664	677.8889727182737	680.8945500600595
flights	BTER	12	694.2996389713803	692.9751120164701	695.6241659262901
flights	BTER	13	707.5915720947892	706.3498731448544	708.8332710447241
flights	BTER	14	719.382623052778	718.223496663792	720.5417494417638
flights	BTER	15	729.7983794984433	728.5939131486863	731.0028458482003
flights	BTER	16	739.7278684384235	738.3953764524622	741.0603604243847
flights	BTER	17	749.2772579094803	747.903732300727	750.6507835182337
flights	BTER	18	758.6365194724693	757.3054518043783	759.9675871405603
flights	BTER	19	766.8272880267765	765.4844358939349	768.1701401596179
flights	BTER	20	774.6156865508143	773.2095407687001	776.0218323329285
flights	BUGGE	1	881.2477402349039	859.4430708904666	903.0524095793406
flights	BUGGE	2	945.0614501598824	925.7047889555288	964.4181113642358
flights	BUGGE	3	898.4767593275376	879.9263560529723	917.0271626021029
flights	BUGGE	4	810.7341839528291	775.8333544775776	845.6350134280806
flights	BUGGE	5	787.3014203746143	755.7065229733587	818.8963177758699
flights	BUGGE	6	786.0132666925836	755.1862726511685	816.8402607339984
flights	BUGGE	7	798.1570032880766	759.5955808273761	836.7184257487766
flights	BUGGE	8	837.1758404203018	810.5487518323902	863.8029290082142
flights	BUGGE	9	838.1506483655654	802.4135871660212	873.8877095651096
flights	BUGGE	10	857.3378413933849	826.8747946920888	887.800888094681
flights	BUGGE	11	874.9883370624134	849.2310730437607	900.7456010810661
flights	BUGGE	12	881.1180592423273	851.8363777571075	910.3997407275461
flights	BUGGE	13	894.6865101232709	874.2767764381111	915.0962438084306
flights	BUGGE	14	889.4994554216089	863.8743672262276	915.1245436169904
flights	BUGGE	15	898.4834709202565	873.3459279962418	923.621013844271
flights	BUGGE	16	910.3217641233994	890.8837494497818	929.7597787970165
flights	BUGGE	17	904.2657633093094	882.0025283714008	926.5289982472186
flights	BUGGE	18	892.746549471072	867.4724755317142	918.0206234104297
flights	BUGGE	19	906.0305065203462	880.7271315337009	931.3338815069915
flights	BUGGE	20	901.5326125997096	872.9781356956603	930.0870895037585
flights	CNRG	1	232.78083512081813	195.8511308701347	269.7105393715016
flights	CNRG	2	336.76880797435507	280.2416607254335	393.29595522327674
flights	CNRG	3	401.4250668995126	342.088376355528	460.7617574434971
flights	CNRG	4	474.8270159648611	411.87559418999314	537.7784377397292
