dataset	model	gen	lambda_dist	ci_lower	ci_upper
flights	CNRG	5	532.9067415487665	465.04153658823617	600.7719465092965
flights	CNRG	6	553.8934042435765	482.16372546303893	625.623083024114
flights	CNRG	7	588.7032423554477	517.5034296580905	659.903055052805
flights	CNRG	8	588.8637553738912	514.4629390804092	663.2645716673729
flights	CNRG	9	605.5145710669755	529.5761345797905	681.4530075541602
flights	CNRG	10	618.7362025127884	538.9701442610032	698.5022607645732
flights	CNRG	11	625.0195662077629	541.5306819968508	708.5084504186747
flights	CNRG	12	652.3555774596405	565.8510311849253	738.8601237343554
flights	CNRG	13	664.4842054615083	576.8576755916188	752.1107353313982
flights	CNRG	14	674.1391105936555	585.9779719772484	762.3002492100625
flights	CNRG	15	671.4681074062548	580.8917534245053	762.0444613880051
flights	CNRG	16	684.1206066887286	591.1875736538375	777.0536397236199
flights	CNRG	17	698.8774123668268	603.8747641927864	793.8800605408669
flights	CNRG	18	705.6306618585106	610.6933013890477	800.568022327973
flights	CNRG	19	695.4345492250858	600.7311645144664	790.137933935705
flights	CNRG	20	721.2783693748944	626.4682235037873	816.0885152460017
flights	Chung-Lu	1	120.78395698142829	119.51459694423656	122.05331701862005
flights	Chung-Lu	2	210.51560230965828	209.15134847323873	211.87985614607788
flights	Chung-Lu	3	281.56851713695806	280.29528506986696	282.8417492040493
flights	Chung-Lu	4	339.71150419374027	338.351312068706	341.0716963187746
flights	Chung-Lu	5	387.7799183680579	386.3768809829872	389.1829557531284
flights	Chung-Lu	6	429.2418497145336	427.8633737881926	430.62032564087474
flights	Chung-Lu	7	465.4190879940645	463.8876745578176	466.95050143031176
flights	Chung-Lu	8	497.28564022399223	495.9149408337775	498.65633961420684
flights	Chung-Lu	9	525.5981489016191	524.2703893865149	526.9259084167235
flights	Chung-Lu	10	550.760003556206	549.5266990457827	551.9933080666293
flights	Chung-Lu	11	574.1174138987532	572.9040813081139	575.3307464893925
flights	Chung-Lu	12	595.2031754637002	594.0994992558622	596.3068516715384
flights	Chung-Lu	13	614.2236691698782	613.0674720932108	615.3798662465457
flights	Chung-Lu	14	632.3123165146862	631.1586285756965	633.4660044536757
flights	Chung-Lu	15	648.4022468134519	647.3160481529483	649.4884454739554
flights	Chung-Lu	16	664.0764588722159	662.967724467957	665.1851932764747
flights	Chung-Lu	17	678.345858951361	677.1875743366602	679.5041435660614
flights	Chung-Lu	18	691.9654489466222	690.8947297988328	693.0361680944112
flights	Chung-Lu	19	704.5000840386995	703.4754653983621	705.5247026790369
flights	Chung-Lu	20	716.1181648606699	715.1306657453846	717.105663975955
flights	Erdos-Renyi	1	1035.3817596189574	1034.8254024658693	1035.9381167720455
flights	Erdos-Renyi	2	1034.9058046477144	1034.3994333413548	1035.412175954074
flights	Erdos-Renyi	3	1035.3883729364427	1034.8002380702192	1035.9765078026662
flights	Erdos-Renyi	4	1035.2790495662457	1034.7193247103833	1035.8387744221081
flights	Erdos-Renyi	5	1034.8829734527126	1034.3452922792528	1035.4206546261723
flights	Erdos-Renyi	6	1035.0743851055763	1034.3813008968625	1035.767469314291
flights	Erdos-Renyi	7	1035.4964201282432	1034.804680667753	1036.1881595887344
flights	Erdos-Renyi	8	1035.5940911391983	1034.847137976445	1036.3410443019516
flights	Erdos-Renyi	9	1035.3509673428737	1034.618003212841	1036.083931472907
flights	Erdos-Renyi	10	1035.6926197657317	1034.9014908802412	1036.4837486512222
flights	Erdos-Renyi	11	1035.4628617823805	1034.7689311828408	1036.1567923819202
flights	Erdos-Renyi	12	1035.4546512564543	1034.58035800322	1036.3289445096887
flights	Erdos-Renyi	13	1035.0120030983978	1034.1633111204358	1035.86069507636
flights	Erdos-Renyi	14	1035.5309530931597	1034.7894408007655	1036.2724653855544
flights	Erdos-Renyi	15	1034.954573265321	1034.2869883144892	1035.6221582161522
flights	Erdos-Renyi	16	1035.2977527239773	1034.4772391076965	1036.118266340258
flights	Erdos-Renyi	17	1035.518731856085	1034.7053130849017	1036.3321506272678
flights	Erdos-Renyi	18	1035.2084032084636	1034.263639060623	1036.1531673563031
flights	Erdos-Renyi	19	1035.710092430542	1034.7077299633	1036.7124548977833
flights	Erdos-Renyi	20	1035.8887151251395	1035.1842451481164	1036.593185102163
flights	GCN_AE	1	66665.950366643	66313.50731961991	67018.39341366605
flights	GCN_AE	2	83324.98804763841	82692.226525948	83957.7495693288
flights	GCN_AE	3	82763.9739950139	82229.0797429506	83298.86824707717
flights	GCN_AE	4	82690.1153376606	82160.2393294609	83219.99134586022
flights	GCN_AE	5	82647.03984975147	82113.6366142352	83180.44308526776
flights	GCN_AE	6	82638.94960364648	82103.91867403648	83173.98053325649
flights	GCN_AE	7	82636.88193928628	82101.89629668623	83171.86758188633
flights	GCN_AE	8	82631.97642835496	82093.67397908769	83170.27887762223
flights	GCN_AE	9	82632.99242885051	82094.24974719147	83171.73511050956
flights	GCN_AE	10	82633.61493745075	82095.05041091017	83172.17946399136
flights	GCN_AE	11	82633.48252665113	82094.8634529611	83172.10160034116
flights	GCN_AE	12	82633.56952088648	82094.98427619658	83172.15476557637
flights	GCN_AE	13	82633.67771518869	82095.13446724441	83172.220963133
flights	GCN_AE	14	82633.6674325142	82095.12019687664	83172.21466815175
flights	GCN_AE	15	82633.65144605102	82095.09800923512	83172.20488286695
flights	GCN_AE	16	82633.67076707957	82095.12482469348	83172.21670946566
flights	GCN_AE	17	82633.80501412226	82095.31107037017	83172.29895787436
flights	GCN_AE	18	82633.83722330828	82095.35573595724	83172.31871065931
flights	GCN_AE	19	82633.7728287657	82095.26643034468	83172.27922718674
flights	GCN_AE	20	82633.83467334863	82095.35220011353	83172.31714658375
flights	GraphRNN	1	1716.256609472967	1687.8858910577662	1744.6273278881674
flights	GraphRNN	2	1759.7107903832054	1711.6532680145222	1807.7683127518883
flights	GraphRNN	3	1471.4774724172437	1440.355335663961	1502.599609170526
flights	GraphRNN	4	1398.0002923343388	1394.8903360114032	1401.110248657275
flights	GraphRNN	5	1355.7323163704716	1353.5463889548303	1357.918243786113
flights	GraphRNN	6	1300.717203534776	1298.976572112698	1302.457834956854
flights	GraphRNN	7	1249.0890213287732	1247.5133400318684	1250.6647026256771
flights	GraphRNN	8	1206.9558128933013	1205.34298662452	1208.5686391620825
flights	GraphRNN	9	1178.2077946386642	1177.2423424997999	1179.1732467775284
flights	GraphRNN	10	1136.8142577909925	1135.7651413092074	1137.8633742727773
flights	GraphRNN	11	1098.6323607284344	1097.7116351945251	1099.5530862623436
flights	GraphRNN	12	1075.4359241953164	1074.7098230733968	1076.1620253172364
flights	GraphRNN	13	1068.380564797512	1067.6804370402085	1069.0806925548152
flights	GraphRNN	14	1055.75056642496	1055.0393981995417	1056.4617346503783
flights	GraphRNN	15	1039.636425554527	1038.9510102225306	1040.3218408865243
flights	GraphRNN	16	1031.963932724539	1031.433696790026	1032.494168659052
flights	GraphRNN	17	1029.521764406515	1029.0202516849536	1030.0232771280757
flights	GraphRNN	18	1027.0942745875595	1026.6539189400048	1027.5346302351147
flights	GraphRNN	19	1026.2654210036867	1025.7549473569861	1026.7758946503873
flights	GraphRNN	20	1028.4636100634616	1027.9139502805288	1029.0132698463945
flights	Kronecker	1	977.9411989316703	970.0087793995191	985.8736184638216
flights	Kronecker	2	1742.9983424622249	1728.8628414976354	1757.1338434268143
flights	Kronecker	3	2950.607588760821	2924.2139535805322	2977.0012239411094
flights	Kronecker	4	4994.066026135132	4942.8786870685035	5045.253365201761
flights	Kronecker	5	8413.045040886933	8269.536885502093	8556.553196271769
flights	Kronecker	6	14399.902145940347	14063.806495634213	14735.997796246476
flights	Kronecker	7	24887.059174291993	24194.27814259824	25579.84020598576
flights	Kronecker	8	43927.63570300889	42772.53566836179	45082.73573765598
flights	Kronecker	9	70097.33576949863	69324.16414164391	70870.50739735339
flights	Kronecker	10	75922.58059476016	75768.28338796039	76076.87780155991
flights	Kronecker	11	76740.83301167992	76687.99681248632	76793.66921087354
flights	Kronecker	12	77007.3950658227	76938.80220664016	77075.9879250052
flights	Kronecker	13	76633.9926605327	76520.36369805307	76747.62162301231
flights	Kronecker	14	76812.60033946286	76753.23689653691	76871.96378238885
flights	Kronecker	15	77061.3479473289	76991.55582157176	77131.14007308605
flights	Kronecker	16	76682.07244879151	76581.85392899517	76782.29096858785
flights	Kronecker	17	76849.53717987657	76784.39370856265	76914.68065119052
flights	Kronecker	18	77096.04393831306	77020.3433939018	77171.74448272429
flights	Kronecker	19	76711.14648210468	76616.29913347465	76805.99383073466
flights	Kronecker	20	76870.52253475161	76802.24099954683	76938.80406995633
flights	Linear_AE	1	63137.91178019954	62969.152485347266	63306.671075051825
flights	Linear_AE	2	85765.4010974204	85411.49908952476	86119.30310531601
flights	Linear_AE	3	88170.716694142	87778.66202795277	88562.7713603312
flights	Linear_AE	4	88282.31280197504	87870.34996260605	88694.27564134401
flights	Linear_AE	5	88254.42178057613	87840.08104735865	88668.76251379361
flights	Linear_AE	6	88229.30866978754	87806.0623735224	88652.5549660527
flights	Linear_AE	7	88228.41031754931	87804.73924581165	88652.08138928696
flights	Linear_AE	8	88228.41031754931	87804.73924581165	88652.08138928696
flights	Linear_AE	9	88228.41031754931	87804.73924581165	88652.08138928696
flights	Linear_AE	10	88228.41031754931	87804.73924581165	88652.08138928696
flights	Linear_AE	11	88228.41031754931	87804.73924581165	88652.08138928696
flights	Linear_AE	12	88228.41031754931	87804.73924581165	88652.08138928696
flights	Linear_AE	13	88228.41031754931	87804.73924581165	88652.08138928696
flights	Linear_AE	14	88228.41031754931	87804.73924581165	88652.08138928696
flights	Linear_AE	15	88228.41031754931	87804.73924581165	88652.08138928696
flights	Linear_AE	16	88228.41031754931	87804.73924581165	88652.08138928696
flights	Linear_AE	17	88228.41031754931	87804.73924581165	88652.08138928696
flights	Linear_AE	18	88228.41031754931	87804.73924581165	88652.08138928696
flights	Linear_AE	19	88228.41031754931	87804.73924581165	88652.08138928696
flights	Linear_AE	20	88228.41031754931	87804.73924581165	88652.08138928696
flights	SBM	1	276.9827221423099	270.9880204944819	282.97742379013806
flights	SBM	2	292.74271386675645	285.83352319287354	299.65190454063935
flights	SBM	3	303.682070987386	295.87896807120165	311.4851739035702
flights	SBM	4	313.07509901940114	305.9288271655663	320.2213708732361
flights	SBM	5	324.3298065512739	317.0502807828679	331.60933231967994
flights	SBM	6	331.46432744529943	323.4608773373645	339.46777755323404
flights	SBM	7	343.4767926946073	334.9545447852705	351.9990406039442
flights	SBM	8	351.520767585944	342.4488644179386	360.5926707539493
flights	SBM	9	356.0983915844413	347.32364370801224	364.87313946087045
flights	SBM	10	365.1275534272261	355.6734952942347	374.5816115602173
flights	SBM	11	368.0505427815122	357.60013872647386	378.50094683655044
flights	SBM	12	373.69527690554537	362.1607886068114	385.2297652042793
flights	SBM	13	379.9196957197232	368.9359183223916	390.9034731170547
flights	SBM	14	385.9726647371623	374.59794448427607	397.3473849900486
flights	SBM	15	392.0918909542215	380.1107926913164	404.07298921712663
flights	SBM	16	396.7120155268605	384.5741365909604	408.84989446276074
flights	SBM	17	400.92364816684335	388.2738984466341	413.5733978870527
flights	SBM	18	404.404390372035	391.7851181284016	417.023662615668
flights	SBM	19	408.2074040664169	395.9477073286427	420.46710080419103
flights	SBM	20	410.4549213814384	398.4164070460359	422.493435716841
