dataset	model	gen	clu	pl
clique-ring-500-4	GraphRNN	20	0.3308562280312281	1.6253699633699636
clique-ring-500-4	Kronecker	0	0.75	250.6250625312658
clique-ring-500-4	Kronecker	1	0.003079720104747181	4.029549710959632
clique-ring-500-4	Kronecker	2	0.004538901578359738	3.173990064744168
clique-ring-500-4	Kronecker	3	0.012018686546917496	2.6932270166707384
clique-ring-500-4	Kronecker	4	0.02920292303821335	2.2201445331582796
clique-ring-500-4	Kronecker	5	0.0630434091186228	1.9557717276807531
clique-ring-500-4	Kronecker	6	0.12453173702079536	1.8947098268808011
clique-ring-500-4	Kronecker	7	0.22696181701950807	1.8030055607291156
clique-ring-500-4	Kronecker	8	0.4041581350462171	1.6339769422478019
clique-ring-500-4	Kronecker	9	0.6709744069866518	1.3491219620175867
clique-ring-500-4	Kronecker	10	0.8154174536019485	1.1921643811828284
clique-ring-500-4	Kronecker	11	0.8324907174232774	1.1734878786028333
clique-ring-500-4	Kronecker	12	0.83680895048701	1.1687971249847338
clique-ring-500-4	Kronecker	13	0.8343644752577231	1.1714468486657301
clique-ring-500-4	Kronecker	14	0.8329968889842421	1.1729392384434536
clique-ring-500-4	Kronecker	15	0.8371132844247049	1.168457250702247
clique-ring-500-4	Kronecker	16	0.8348022060336269	1.1709838998381779
clique-ring-500-4	Kronecker	17	0.833305916673837	1.172596244122496
clique-ring-500-4	Kronecker	18	0.8373271543923638	1.1682447255129458
clique-ring-500-4	Kronecker	19	0.8350089112065382	1.1707664894510261
clique-ring-500-4	Kronecker	20	0.8334467461269606	1.1724506709513924
clique-ring-500-4	Linear_AE	0	0.75	250.6250625312658
clique-ring-500-4	Linear_AE	1	0.5588716790868089	1.504353736868434
clique-ring-500-4	Linear_AE	2	0.5804164228143417	1.5030265832916458
clique-ring-500-4	Linear_AE	3	0.6255585234594756	1.5014382091045528
clique-ring-500-4	Linear_AE	4	0.6481674553070151	1.5010554077038514
clique-ring-500-4	Linear_AE	5	0.6604553569526614	1.5009843821910958
clique-ring-500-4	Linear_AE	6	0.6667427240678293	1.5009228214107058
clique-ring-500-4	Linear_AE	7	0.6711783773866423	1.5010750075037518
clique-ring-500-4	Linear_AE	8	0.6778706041069609	1.5021727663831916
clique-ring-500-4	Linear_AE	9	0.6838844319451942	1.5059523661830914
clique-ring-500-4	Linear_AE	10	0.6891690021227345	1.5130199899949976
clique-ring-500-4	Linear_AE	11	0.693220250448658	1.5221156278139067
clique-ring-500-4	Linear_AE	12	0.6967606029419919	1.5315546873436725
clique-ring-500-4	Linear_AE	13	0.6989056843880526	1.5399122061030512
clique-ring-500-4	Linear_AE	14	0.7005572318866454	1.5460284942471236
clique-ring-500-4	Linear_AE	15	0.701312225106268	1.5492736068034012
clique-ring-500-4	Linear_AE	16	0.7017936109983418	1.5519756378189091
clique-ring-500-4	Linear_AE	17	0.7020916387646139	1.553666523261631
clique-ring-500-4	Linear_AE	18	0.7026579531521426	1.553977768884442
clique-ring-500-4	Linear_AE	19	0.7031186184254272	1.554942181090545
clique-ring-500-4	Linear_AE	20	0.7033272685610433	1.5558340770385188
clique-ring-500-4	NetGAN	0	0.75	250.6250625312658
clique-ring-500-4	NetGAN	1	0.18717180384974558	9.85124582887841
clique-ring-500-4	NetGAN	2	0.12798472883900003	13.324988654188477
clique-ring-500-4	NetGAN	3	0.10276070554139813	25.320959247858287
clique-ring-500-4	NetGAN	4	0.0998749728201783	20.906546688465127
clique-ring-500-4	NetGAN	5	0.09529534687334508	21.451222806007266
clique-ring-500-4	NetGAN	6	0.15679271708683473	23.237794680046445
clique-ring-500-4	SBM	0	0.75	250.6250625312658
clique-ring-500-4	SBM	1	0.025481695133861008	15.635360053372976
clique-ring-500-4	SBM	2	0.022907568894799116	11.669597386938968
clique-ring-500-4	SBM	3	0.02016985350997271	10.128989442275639
clique-ring-500-4	SBM	4	0.018054564980193654	9.212027742325914
clique-ring-500-4	SBM	5	0.017476067832926125	8.691569855711851
clique-ring-500-4	SBM	6	0.017093631242247904	8.215081193255816
clique-ring-500-4	SBM	7	0.016479899441377392	7.855253205350851
clique-ring-500-4	SBM	8	0.015609616020382881	7.948031439815899
clique-ring-500-4	SBM	9	0.015454313066078229	7.659451549554559
clique-ring-500-4	SBM	10	0.014847494462759306	7.833507419925099
clique-ring-500-4	SBM	11	0.01432742349204481	7.981374378997767
clique-ring-500-4	SBM	12	0.014013097186740167	7.937787039402302
clique-ring-500-4	SBM	13	0.013481319601090563	7.869640554249333
clique-ring-500-4	SBM	14	0.012601692287481986	8.013360224369508
clique-ring-500-4	SBM	15	0.0123906140817491	7.978970694426246
clique-ring-500-4	SBM	16	0.01168061692713518	7.759080434713246
clique-ring-500-4	SBM	17	0.011257099948753086	7.9717389018606175
clique-ring-500-4	SBM	18	0.011115136135582624	8.076600547123912
clique-ring-500-4	SBM	19	0.010193297895462418	8.005399850012457
clique-ring-500-4	SBM	20	0.01058566804274595	8.024498856776104
