dataset	model	gen	degree_js	ci_lower	ci_upper
flights	BTER	1	0.10861081537703257	0.10700718930750491	0.11021444144656017
flights	BTER	2	0.10875806643923079	0.10762499332156227	0.1098911395568994
flights	BTER	3	0.11091107905695352	0.10969728319797978	0.11212487491592726
flights	BTER	4	0.11381958077443541	0.11267835666721938	0.11496080488165143
flights	BTER	5	0.11822318458173747	0.11705003514170978	0.11939633402176514
flights	BTER	6	0.12104702431549447	0.11966823999607751	0.12242580863491134
flights	BTER	7	0.12371992370545065	0.12246152931297882	0.12497831809792259
flights	BTER	8	0.12257846042870044	0.12105896006720063	0.12409796079020025
flights	BTER	9	0.12102046177192322	0.11939858143986758	0.12264234210397891
flights	BTER	10	0.1164568912620287	0.11514698504761275	0.11776679747644464
flights	BTER	11	0.11870691662616854	0.11722790013790292	0.12018593311443425
flights	BTER	12	0.12238833150139339	0.12074341920303641	0.12403324379975048
flights	BTER	13	0.12436367663522895	0.1228578819800507	0.1258694712904072
flights	BTER	14	0.12461196059152907	0.12326190874472864	0.12596201243832958
flights	BTER	15	0.12809585330541565	0.12618262142746783	0.13000908518336346
flights	BTER	16	0.13106765844334095	0.1292106208577179	0.13292469602896395
flights	BTER	17	0.13855774220118783	0.12809736583283338	0.14901811856954228
flights	BTER	18	0.14006518940024618	0.12953964274067412	0.15059073605981824
flights	BTER	19	0.14147309946689013	0.1310068165142056	0.15193938241957455
flights	BTER	20	0.15174723503456072	0.1375995670269226	0.16589490304219884
flights	BUGGE	1	0.1258178023888744	0.12070356966327524	0.1309320351144735
flights	BUGGE	2	0.17170013508485218	0.1443778358679592	0.19902243430174513
flights	BUGGE	3	0.1654024194364087	0.13785822962582692	0.1929466092469906
flights	BUGGE	4	0.1862309479719246	0.15422047111706155	0.21824142482678766
flights	BUGGE	5	0.19393631081615548	0.15938508334192572	0.22848753829038512
flights	BUGGE	6	0.21884293599193388	0.18289854827080604	0.25478732371306173
flights	BUGGE	7	0.17170180583411238	0.1425127475965421	0.20089086407168266
flights	BUGGE	8	0.18913777000567455	0.1572861770286696	0.22098936298267952
flights	BUGGE	9	0.17900871716016822	0.14899656217072926	0.20902087214960718
flights	BUGGE	10	0.18612193366300378	0.15213678907061512	0.22010707825539244
flights	BUGGE	11	0.21025711233184421	0.17421089397078854	0.24630333069289995
flights	BUGGE	12	0.1777552549723118	0.1458577796243801	0.20965273032024342
flights	BUGGE	13	0.17450662123836083	0.14239585411843778	0.2066173883582839
flights	BUGGE	14	0.15335980556576292	0.12847042192389943	0.17824918920762642
flights	BUGGE	15	0.1850696286644947	0.15286789793234817	0.21727135939664122
flights	BUGGE	16	0.1907592590561386	0.15748873840080296	0.2240297797114743
flights	BUGGE	17	0.18046773111828024	0.14898437327427755	0.21195108896228293
