dataset	model	gen	avg_clustering	ci_lower	ci_upper
chess	BTER	0	0.17939575805920788	0.179395758059208	0.179395758059208
chess	BTER	1	0.18710484158747828	0.18588310083765713	0.18832658233729943
chess	BTER	2	0.19315384690625645	0.19129989122295427	0.19500780258955852
chess	BTER	3	0.19922724216613263	0.1968734908302695	0.20158099350199582
chess	BTER	4	0.2038353881871442	0.2013897196731915	0.2062810567010969
chess	BTER	5	0.20780090051130273	0.2053951803375616	0.21020662068504392
chess	BTER	6	0.2111348818709363	0.20845088732901207	0.2138188764128604
chess	BTER	7	0.21528237970625325	0.21231047806047015	0.21825428135203634
chess	BTER	8	0.21722361301939266	0.21417435281246222	0.22027287322632316
chess	BTER	9	0.22053981478650328	0.21727257455147947	0.2238070550215271
chess	BTER	10	0.22428833931851042	0.22090462657256818	0.22767205206445265
chess	BTER	11	0.22718497729288417	0.2235831913534332	0.23078676323233496
chess	BTER	12	0.2303987883070723	0.22658610036855778	0.23421147624558705
chess	BTER	13	0.2326849204291476	0.22883469137550097	0.23653514948279433
chess	BTER	14	0.23369461526452218	0.22988849843651757	0.23750073209252684
chess	BTER	15	0.2352071579037128	0.23126495393834626	0.23914936186907929
chess	BTER	16	0.23579342428280675	0.23168023374965177	0.2399066148159618
chess	BTER	17	0.2367609178099245	0.23253790348835437	0.24098393213149463
chess	BTER	18	0.23824188067815957	0.23369610159048898	0.2427876597658301
chess	BTER	19	0.23920266651263902	0.2346536324740069	0.243751700551271
chess	BTER	20	0.24030838894490364	0.23560519631304716	0.24501158157676
chess	BUGGE	0	0.1793957580592079	0.179395758059208	0.179395758059208
chess	BUGGE	1	0.06014393741579751	0.05965515398484146	0.06063272084675356
chess	BUGGE	2	0.04730504515057553	0.04676835566969976	0.047841734631451284
chess	BUGGE	3	0.04349145910211663	0.04291564015992453	0.04406727804430873
chess	BUGGE	4	0.04180647710848689	0.04136671908342112	0.04224623513355267
chess	BUGGE	5	0.040219764976362635	0.03976670044457123	0.040672829508154054
chess	BUGGE	6	0.03962092684999002	0.03917426860249992	0.04006758509748007
chess	BUGGE	7	0.039110493940786736	0.038679155314015376	0.0395418325675581
