dataset	model	gen	portrait_js	ci_lower	ci_upper
tree	BTER	1	0.910232101748783	0.9088560327702507	0.9116081707273155
tree	BTER	2	0.9112037307376791	0.9098100288415188	0.9125974326338396
tree	BTER	3	0.9098436665231011	0.9085715209702763	0.9111158120759266
tree	BTER	4	0.9115074718100123	0.9104146685741744	0.9126002750458505
tree	BTER	5	0.9124472370219149	0.9110720363709921	0.9138224376728372
tree	BTER	6	0.911750941354495	0.9106219934065696	0.9128798893024201
tree	BTER	7	0.91225902461871	0.9112599629742615	0.9132580862631587
tree	BTER	8	0.9124911223701844	0.9112460297057947	0.9137362150345738
tree	BTER	9	0.9134836420801382	0.9124684882475447	0.9144987959127315
tree	BTER	10	0.9133708757986269	0.9121123858842146	0.9146293657130384
tree	BTER	11	0.9144217287025104	0.913492165373714	0.9153512920313065
tree	BTER	12	0.9142780813723749	0.913114972083888	0.9154411906608624
tree	BTER	13	0.9133326239889619	0.9122089514006981	0.9144562965772256
tree	BTER	14	0.9146346553384466	0.9134341539490778	0.9158351567278147
tree	BTER	15	0.9153568194403374	0.9143571985452831	0.9163564403353918
tree	BTER	16	0.9150612499364063	0.9141144839624706	0.9160080159103419
tree	BTER	17	0.9158519305578297	0.9146804037785627	0.9170234573370963
tree	BTER	18	0.9151671385627944	0.9141949252108074	0.9161393519147815
tree	BTER	19	0.914518714698998	0.9135209341633699	0.9155164952346264
tree	BTER	20	0.9155271933496756	0.914469816015463	0.9165845706838882
tree	BUGGE	1	0.9296292806179481	0.9276766904147631	0.931581870821133
tree	BUGGE	2	0.9307481660396307	0.9289423644378024	0.9325539676414593
tree	BUGGE	3	0.932047763431671	0.930616502389537	0.9334790244738052
tree	BUGGE	4	0.9324565351076299	0.9309974003595893	0.9339156698556716
tree	BUGGE	5	0.9314271404421767	0.9297295337145082	0.933124747169845
tree	BUGGE	6	0.9316087148047951	0.9299818522834127	0.9332355773261782
tree	BUGGE	7	0.9301513270395094	0.9283945438084822	0.9319081102705371
tree	BUGGE	8	0.9314257929179837	0.9297318889900519	0.9331196968459159
tree	BUGGE	9	0.9306355262342656	0.9287634597211483	0.9325075927473823
tree	BUGGE	10	0.9322471246906203	0.9305586019042813	0.9339356474769593
tree	BUGGE	11	0.932523852240052	0.9309196320297773	0.9341280724503266
tree	BUGGE	12	0.9309842585020841	0.9293526186487474	0.9326158983554206
tree	BUGGE	13	0.9305652076714219	0.9290373236605773	0.9320930916822667
tree	BUGGE	14	0.9294676282356378	0.9276776743146466	0.9312575821566289
tree	BUGGE	15	0.9307405431859118	0.9288788286319226	0.932602257739901
tree	BUGGE	16	0.9326957250001446	0.9312978410526579	0.9340936089476314
tree	BUGGE	17	0.9314421755760831	0.9295137338114109	0.933370617340756
tree	BUGGE	18	0.9309468188146591	0.9293665108995154	0.9325271267298033
tree	BUGGE	19	0.9299147802208724	0.9284075849210706	0.9314219755206746
tree	BUGGE	20	0.9299311671553155	0.9282547344214558	0.9316075998891755
tree	CNRG	1	0.9294986429862344	0.9278186564395012	0.9311786295329676
tree	CNRG	2	0.9337748650714919	0.9323191809199164	0.9352305492230671
tree	CNRG	3	0.9354313672467613	0.933875430354012	0.9369873041395109
tree	CNRG	4	0.9373781192855895	0.9360109639788747	0.9387452745923042
tree	CNRG	5	0.9387541147440635	0.9376332075599673	0.9398750219281596
