dataset	model	gen	avg_clustering	ci_lower	ci_upper
flights	GraphRNN	8	0.008617980866731855	0.008559480465271899	0.008676481268191816
flights	GraphRNN	9	0.008232440989626607	0.008176003414545368	0.008288878564707843
flights	GraphRNN	10	0.007766043030422465	0.007705180594831335	0.007826905466013594
flights	GraphRNN	11	0.0072318949831531275	0.00717481659587066	0.007288973370435597
flights	GraphRNN	12	0.006784300883055066	0.006712309632755344	0.006856292133354782
flights	GraphRNN	13	0.006398335348244902	0.006337755848070481	0.006458914848419322
flights	GraphRNN	14	0.006170161936710913	0.0061182853884493545	0.0062220384849724685
flights	GraphRNN	15	0.005726919550823607	0.005651360771729462	0.00580247832991775
flights	GraphRNN	16	0.005302336687278977	0.0052314468337962055	0.005373226540761745
flights	GraphRNN	17	0.005070878847378956	0.0050013826225903165	0.005140375072167596
flights	GraphRNN	18	0.0048583568047512035	0.004788875304150359	0.0049278383053520496
flights	GraphRNN	19	0.004643749295284003	0.004563898561662336	0.00472360002890567
flights	GraphRNN	20	0.004260583949659079	0.004185123919021706	0.004336043980296452
flights	Kronecker	0	0.455516918234846	nan	nan
flights	Kronecker	1	0.08262601957928767	0.08152485717848544	0.0837271819800899
flights	Kronecker	2	0.11709562928694994	0.11607086874918872	0.11812038982471114
flights	Kronecker	3	0.13399591310907374	0.13330156174083851	0.13469026447730909
flights	Kronecker	4	0.14873809916477337	0.14806688997001535	0.14940930835953134
flights	Kronecker	5	0.17786062987881113	0.17630356596211502	0.1794176937955073
flights	Kronecker	6	0.2333902082000017	0.22997192293813407	0.23680849346186933
flights	Kronecker	7	0.3319700722303274	0.32520605136668723	0.3387340930939675
flights	Kronecker	8	0.5143817748880095	0.5029295550554919	0.5258339947205274
flights	Kronecker	9	0.7691257426499744	0.7614212342337223	0.7768302510662264
flights	Kronecker	10	0.8259520098153916	0.8244612266429919	0.8274427929877911
flights	Kronecker	11	0.8338151821560459	0.8332895038253249	0.8343408604867669
flights	Kronecker	12	0.836489911936577	0.8357858248591677	0.8371939990139864
flights	Kronecker	13	0.832257661486008	0.8311761541688747	0.8333391688031411
flights	Kronecker	14	0.8345724463071201	0.833994937426109	0.8351499551881313
flights	Kronecker	15	0.8370427527292376	0.8363314430635489	0.8377540623949262
flights	Kronecker	16	0.8327781975982983	0.8318144208686038	0.8337419743279928
flights	Kronecker	17	0.8349759378589795	0.8343564091209351	0.8355954665970232
flights	Kronecker	18	0.8374436563743403	0.8366796960863699	0.838207616662311
flights	Kronecker	19	0.833063374995153	0.8321516496393858	0.83397510035092
flights	Kronecker	20	0.8351850831675222	0.8345315007949332	0.8358386655401113
flights	Linear_AE	0	0.455516918234846	nan	nan
flights	Linear_AE	1	0.5574010715121368	0.5559258449255378	0.5588762980987358
flights	Linear_AE	2	0.8051544829433256	0.8001214845381478	0.8101874813485032
flights	Linear_AE	3	0.9090396105178429	0.8954947163309613	0.9225845047047257
flights	Linear_AE	4	0.9846398394541896	0.9745287375075142	0.9947509414008653
flights	Linear_AE	5	0.9922535153630504	0.9834508849530125	1.0010561457730882
flights	Linear_AE	6	0.9923207084404114	0.9835933460056848	1.001048070875138
flights	Linear_AE	7	0.9923214961991532	0.9835950005231684	1.001047991875138
flights	Linear_AE	8	0.9923208432711731	0.9835935892373159	1.0010480973050302
flights	Linear_AE	9	0.9923208432711731	0.9835935892373159	1.0010480973050302
flights	Linear_AE	10	0.9923208432711731	0.9835935892373159	1.0010480973050302
flights	Linear_AE	11	0.9923208432711731	0.9835935892373159	1.0010480973050302
flights	Linear_AE	12	0.9923208432711731	0.9835935892373159	1.0010480973050302
flights	Linear_AE	13	0.9923208432711731	0.9835935892373159	1.0010480973050302
flights	Linear_AE	14	0.9923208432711731	0.9835935892373159	1.0010480973050302
flights	Linear_AE	15	0.9923208432711731	0.9835935892373159	1.0010480973050302
flights	Linear_AE	16	0.9923208432711731	0.9835935892373159	1.0010480973050302
flights	Linear_AE	17	0.9923208432711731	0.9835935892373159	1.0010480973050302
flights	Linear_AE	18	0.9923208432711731	0.9835935892373159	1.0010480973050302
flights	Linear_AE	19	0.9923208432711731	0.9835935892373159	1.0010480973050302
flights	Linear_AE	20	0.9923208432711731	0.9835935892373159	1.0010480973050302
flights	NetGAN	0	0.455516918234846	nan	nan
flights	SBM	0	0.455516918234846	nan	nan
flights	SBM	1	0.09198447294864691	0.09023387221213713	0.09373507368515666
flights	SBM	2	0.08948484113360886	0.08786500244746412	0.09110467981975356
flights	SBM	3	0.08730601408677047	0.08555671750577075	0.08905531066777013
flights	SBM	4	0.0851275132082972	0.08329423074226844	0.08696079567432588
flights	SBM	5	0.08336929265357652	0.08140408993173866	0.08533449537541439
flights	SBM	6	0.08175400938520903	0.0794940898314497	0.08401392893896839
flights	SBM	7	0.07937992965984854	0.0770510337542751	0.08170882556542197
flights	SBM	8	0.07786374331520746	0.07555251718835548	0.0801749694420594
flights	SBM	9	0.07746475101937846	0.07504860805403504	0.07988089398472184
flights	SBM	10	0.07487994809188474	0.07245560581577953	0.07730429036798989
flights	SBM	11	0.07459795446878487	0.0719254185140597	0.07727049042351003
flights	SBM	12	0.07346608892195595	0.07089793825662248	0.07603423958728943
flights	SBM	13	0.07239383766306812	0.0697283718529336	0.07505930347320267
flights	SBM	14	0.07119296746868096	0.06847046841636659	0.07391546652099532
flights	SBM	15	0.07073265453493983	0.06797878179459699	0.07348652727528263
flights	SBM	16	0.06984866314231425	0.06717044745549451	0.07252687882913401
flights	SBM	17	0.06826967416169666	0.06564291495270061	0.07089643337069274
flights	SBM	18	0.0674112093274268	0.0646813339843625	0.07014108467049109
flights	SBM	19	0.06685137652890086	0.06432003708539677	0.06938271597240492
flights	SBM	20	0.06540663072742779	0.06278543391537057	0.06802782753948501
