dataset	model	gen	degree_js	ci_lower	ci_upper
eucore	BTER	1	0.155819289240333	0.15323346272720065	0.1584051157534653
eucore	BTER	2	0.1523431384914594	0.1495421917138875	0.15514408526903134
eucore	BTER	3	0.1575333906368151	0.15549611196596072	0.15957066930766942
eucore	BTER	4	0.16757227787300774	0.1656354788938424	0.1695090768521731
eucore	BTER	5	0.17676562392228853	0.17453797436463922	0.17899327347993796
eucore	BTER	6	0.18806299585047614	0.1861285967191109	0.18999739498184146
eucore	BTER	7	0.19473839882198785	0.19312025349046982	0.19635654415350604
eucore	BTER	8	0.2038382401040949	0.20120955495976023	0.20646692524842974
eucore	BTER	9	0.20744791390830108	0.2049702695009433	0.20992555831565904
eucore	BTER	10	0.20969726445830777	0.20782545295069516	0.2115690759659204
eucore	BTER	11	0.2217415890303987	0.2190384326403448	0.2244447454204526
eucore	BTER	12	0.23482901862800948	0.23234793104459112	0.23731010621142784
eucore	BTER	13	0.24221448083807612	0.24015506898901204	0.24427389268714036
eucore	BTER	14	0.2545605303756339	0.25225994131258256	0.2568611194386854
eucore	BTER	15	0.2616790941336018	0.25853184846128624	0.26482633980591735
eucore	BTER	16	0.2648760381889595	0.2619296800721687	0.2678223963057503
eucore	BTER	17	0.26773738639497785	0.26481001157764644	0.27066476121230937
eucore	BTER	18	0.27530632929163235	0.2720591611979197	0.278553497385345
eucore	BTER	19	0.28132752745340706	0.278501516563106	0.2841535383437082
eucore	BTER	20	0.2895813006330236	0.28803290200029186	0.2911296992657554
eucore	BUGGE	1	0.27740393863676677	0.26893192577494296	0.28587595149859046
eucore	BUGGE	2	0.28286823753042206	0.27595598504798796	0.28978049001285605
eucore	BUGGE	3	0.2840641521991136	0.27650486012267145	0.2916234442755555
eucore	BUGGE	4	0.287980689622515	0.2810320700585873	0.2949293091864429
eucore	BUGGE	5	0.2869794329128301	0.27965378696280596	0.2943050788628544
eucore	BUGGE	6	0.27901745342349654	0.27094788586436436	0.2870870209826287
eucore	BUGGE	7	0.2834110659272172	0.27416775419019673	0.2926543776642378
eucore	BUGGE	8	0.2857250074244917	0.27909361098012087	0.2923564038688624
eucore	BUGGE	9	0.29504985904965964	0.2862102199831988	0.3038894981161207
eucore	BUGGE	10	0.2894868288119897	0.28173120413508745	0.2972424534888919
eucore	BUGGE	11	0.2872559960239136	0.27976905607973707	0.29474293596809004
eucore	BUGGE	12	0.28887074012246644	0.2816297422170661	0.29611173802786667
eucore	BUGGE	13	0.29112040807993855	0.28304584937009664	0.29919496678978025
eucore	BUGGE	14	0.2952593438335734	0.2882823783637309	0.302236309303416
eucore	BUGGE	15	0.2924095070349688	0.284769780712649	0.3000492333572886
eucore	BUGGE	16	0.30035541496047313	0.2909475481760267	0.3097632817449197
eucore	BUGGE	17	0.2984690723403441	0.2908741039226894	0.30606404075799876
eucore	BUGGE	18	0.30105343375060406	0.2938732792551954	0.3082335882460127
eucore	BUGGE	19	0.30644764574623784	0.2982335508546388	0.31466174063783653
eucore	BUGGE	20	0.29988340046071565	0.2927407911511309	0.30702600977030053
eucore	CNRG	1	0.18185516353213044	0.17826496676671563	0.18544536029754524
eucore	CNRG	2	0.18668223735379333	0.18268073487895506	0.1906837398286316
eucore	CNRG	3	0.19613567701297796	0.1925147470987837	0.19975660692717223
eucore	CNRG	4	0.20584811475981885	0.20273516960803173	0.20896105991160596
eucore	CNRG	5	0.21116210068026903	0.20762793358076354	0.2146962677797744
eucore	CNRG	6	0.2184055221316479	0.2154687034459273	0.22134234081736845
eucore	CNRG	7	0.22533965738730116	0.22117382973337496	0.22950548504122753
eucore	CNRG	8	0.22760679490126004	0.2237845065949202	0.2314290832075999
