dataset	model	gen	lambda_dist	ci_lower	ci_upper
eucore	BTER	1	314.5617390426554	313.24354645395334	315.87993163135746
eucore	BTER	2	489.1475043820475	487.512615583991	490.78239318010395
eucore	BTER	3	583.2029531413569	580.5049611183275	585.9009451643861
eucore	BTER	4	636.3905876381007	633.8146471106958	638.9665281655056
eucore	BTER	5	672.4183559822773	670.5204984361277	674.3162135284266
eucore	BTER	6	707.6760089925726	705.9416597523059	709.4103582328394
eucore	BTER	7	738.3402007894136	736.6033886604444	740.0770129183832
eucore	BTER	8	763.4106856455576	761.7505505030821	765.0708207880333
eucore	BTER	9	783.032386829216	781.342857066861	784.7219165915709
eucore	BTER	10	800.611665991688	798.9403435827678	802.2829884006087
eucore	BTER	11	817.9543098319228	816.3417987839105	819.5668208799352
eucore	BTER	12	833.3501339964844	831.9160039227594	834.7842640702091
eucore	BTER	13	846.059523171147	844.5766989423468	847.5423473999471
eucore	BTER	14	858.3156609021079	856.9250357569149	859.7062860473009
eucore	BTER	15	870.9387067123221	869.5828692163739	872.2945442082703
eucore	BTER	16	882.4806902080431	881.1408191179338	883.8205612981527
eucore	BTER	17	893.1644846805893	891.7341557020312	894.5948136591472
eucore	BTER	18	902.8324541742842	901.3579090105461	904.3069993380223
eucore	BTER	19	912.6034728741539	911.130421140739	914.0765246075686
eucore	BTER	20	921.8553722514276	920.3255857582241	923.385158744631
eucore	BUGGE	1	1256.3640194514635	1241.861437100379	1270.8666018025472
eucore	BUGGE	2	1311.3577021415329	1300.1656325184565	1322.5497717646097
eucore	BUGGE	3	1321.0785740160393	1309.6801038152612	1332.4770442168174
eucore	BUGGE	4	1330.0008293454468	1319.7747060241727	1340.2269526667205
eucore	BUGGE	5	1319.4442192175495	1309.5550205690502	1329.3334178660493
eucore	BUGGE	6	1317.3855725437516	1307.3485416048063	1327.4226034826977
eucore	BUGGE	7	1320.049901449153	1307.8405520637837	1332.259250834523
eucore	BUGGE	8	1323.6782915618962	1313.3081772901955	1334.048405833597
eucore	BUGGE	9	1334.6990732530362	1323.8925610386561	1345.5055854674158
eucore	BUGGE	10	1332.2977194342793	1321.152114665176	1343.443324203384
eucore	BUGGE	11	1322.7804562686267	1310.224778789259	1335.3361337479944
eucore	BUGGE	12	1327.7372888786822	1316.9548770087488	1338.5197007486165
eucore	BUGGE	13	1325.3548782779303	1313.749252204048	1336.9605043518118
eucore	BUGGE	14	1335.790368675854	1326.2763671833861	1345.3043701683225
eucore	BUGGE	15	1333.7751543366937	1323.0792063240863	1344.4711023493012
eucore	BUGGE	16	1345.530918366854	1337.3708105657379	1353.691026167971
eucore	BUGGE	17	1339.7696233561696	1328.1363258160857	1351.4029208962536
eucore	BUGGE	18	1343.027001016039	1334.1536173011664	1351.900384730911
eucore	BUGGE	19	1350.3282786876841	1341.3587015287906	1359.2978558465786
eucore	BUGGE	20	1348.3119927620976	1339.8391734525887	1356.7848120716055
eucore	CNRG	1	256.5939970110836	232.68574414986549	280.5022498723018
eucore	CNRG	2	372.35556303801997	342.04923411072434	402.6618919653156
eucore	CNRG	3	495.8111470436311	461.7606367715266	529.8616573157357
eucore	CNRG	4	562.3636157456256	526.2348120613873	598.4924194298641
eucore	CNRG	5	649.843936938157	611.9759117322424	687.7119621440715
eucore	CNRG	6	708.093821745405	669.4923873921982	746.6952560986122
eucore	CNRG	7	727.8369929892019	688.2309163675258	767.443069610879
eucore	CNRG	8	763.4487157046245	721.5309684065874	805.3664630026617
eucore	CNRG	9	800.7051872793921	757.3767176716465	844.033656887138
eucore	CNRG	10	826.0288173796785	782.7137543604138	869.3438803989429
eucore	CNRG	11	846.8612632999424	803.4719329750899	890.2505936247953
eucore	CNRG	12	858.2499902888803	814.1615163394472	902.3384642383141
eucore	CNRG	13	871.5333857746597	826.7231067066232	916.3436648426962
eucore	CNRG	14	885.0163944141849	838.3212807083288	931.711508120041
eucore	CNRG	15	893.055346709899	843.4762391354092	942.6344542843896
eucore	CNRG	16	897.6419727995379	845.9852260767867	949.2987195222885
eucore	CNRG	17	915.4000497546762	864.4912470345084	966.3088524748443
eucore	CNRG	18	928.0087633991186	876.8479910540618	979.1695357441754
eucore	CNRG	19	921.6874427290965	870.8956714064017	972.4792140517912
eucore	CNRG	20	936.7307901425462	884.9269829503094	988.5345973347823
eucore	Chung-Lu	1	204.65331862742954	203.13308617486615	206.1735510799931
eucore	Chung-Lu	2	339.6274035248322	338.0848815576191	341.1699254920455
eucore	Chung-Lu	3	439.65802066345634	438.1765478557565	441.1394934711562
eucore	Chung-Lu	4	516.6537948482373	515.2297280209822	518.077861675493
eucore	Chung-Lu	5	580.4888839071539	579.0832935045224	581.8944743097856
eucore	Chung-Lu	6	633.258387028429	631.6522564674176	634.8645175894405
eucore	Chung-Lu	7	678.5785217146827	677.0406564950495	680.1163869343159
eucore	Chung-Lu	8	717.8759758265842	716.4510366815567	719.3009149716116
eucore	Chung-Lu	9	752.4137686075587	750.9281248058284	753.8994124092889
eucore	Chung-Lu	10	782.8405852590846	781.4029718749623	784.2781986432069
eucore	Chung-Lu	11	810.8183405585326	809.3943983164464	812.2422828006182
eucore	Chung-Lu	12	835.9708443838093	834.5307817991832	837.4109069684355
eucore	Chung-Lu	13	859.0856082244662	857.6312861245812	860.5399303243511
eucore	Chung-Lu	14	880.0983532508322	878.6827114243329	881.5139950773316
eucore	Chung-Lu	15	899.7302064349902	898.3719897600295	901.0884231099506
eucore	Chung-Lu	16	917.8076027383878	916.530803065002	919.0844024117729
eucore	Chung-Lu	17	934.0136808946227	932.880869306129	935.1464924831164
eucore	Chung-Lu	18	949.6851633316064	948.5630835750826	950.8072430881311
eucore	Chung-Lu	19	964.0988391180998	962.972220099245	965.2254581369547
eucore	Chung-Lu	20	977.713303408042	976.612471683554	978.8141351325297
eucore	Erdos-Renyi	1	961.9631553130398	960.9143563335169	963.0119542925629
eucore	Erdos-Renyi	2	962.6292379287942	961.6189569576813	963.639518899907
eucore	Erdos-Renyi	3	962.2853316188485	961.4253457951214	963.1453174425754
eucore	Erdos-Renyi	4	962.5130329364266	961.5305036601128	963.4955622127404
eucore	Erdos-Renyi	5	962.4593675795618	961.3389993733259	963.5797357857983
eucore	Erdos-Renyi	6	962.8117115384459	961.911257270555	963.7121658063364
eucore	Erdos-Renyi	7	961.9981521040916	960.9222541199711	963.0740500882121
eucore	Erdos-Renyi	8	963.2536677507408	962.1721140772687	964.3352214242124
eucore	Erdos-Renyi	9	962.6643921437748	961.4045324310044	963.9242518565455
eucore	Erdos-Renyi	10	962.8610362943915	961.6297993242209	964.0922732645628
eucore	Erdos-Renyi	11	963.1082719233793	961.931386454808	964.2851573919506
eucore	Erdos-Renyi	12	962.9588307881722	961.7195508760536	964.1981107002908
eucore	Erdos-Renyi	13	963.0515360171578	962.0175272382538	964.0855447960618
eucore	Erdos-Renyi	14	962.9471709825416	961.6361990873967	964.2581428776858
eucore	Erdos-Renyi	15	963.0179132210902	961.6669065172392	964.3689199249412
eucore	Erdos-Renyi	16	963.1830515115535	962.0126869917059	964.3534160314006
eucore	Erdos-Renyi	17	962.7995431391055	961.5651665634807	964.0339197147302
eucore	Erdos-Renyi	18	962.4709386319394	961.2390409256434	963.7028363382358
eucore	Erdos-Renyi	19	961.8748356898028	960.5614535686944	963.1882178109116
eucore	Erdos-Renyi	20	961.5403953915687	960.3222205534361	962.7585702297014
eucore	GCN_AE	1	13375.543752961989	13307.72824549414	13443.359260429841
eucore	GCN_AE	2	14835.36335425899	14731.117887657278	14939.608820860714
eucore	GCN_AE	3	14863.263442437054	14771.359912284346	14955.166972589768
eucore	GCN_AE	4	14978.42064866188	14877.197384973611	15079.64391235015
eucore	GCN_AE	5	15008.342582690257	14908.084838307126	15108.60032707338
eucore	GCN_AE	6	15059.332554693698	14962.220595285371	15156.444514102013
eucore	GCN_AE	7	15086.547926014078	14987.633774973347	15185.46207705481
eucore	GCN_AE	8	15094.547771349016	14990.869240781558	15198.226301916464
eucore	GCN_AE	9	15094.17237339485	14990.154282800944	15198.190463988754
eucore	GCN_AE	10	15095.007550759277	14991.34688530953	15198.668216209026
eucore	GCN_AE	11	15095.118128537619	14991.490448854198	15198.745808221032
eucore	GCN_AE	12	15104.563882138631	15001.257666052032	15207.870098225223
eucore	GCN_AE	13	15115.796877258103	15012.892334120519	15218.701420395679
eucore	GCN_AE	14	15115.854685154394	15012.968438898826	15218.740931409951
eucore	GCN_AE	15	15115.779668738716	15012.869654200651	15218.68968327677
eucore	GCN_AE	16	15115.188151895296	15012.083190927264	15218.29311286332
eucore	GCN_AE	17	15115.186869393112	15012.081471261894	15218.29226752433
eucore	GCN_AE	18	15115.186869393112	15012.081471261894	15218.29226752433
eucore	GCN_AE	19	15115.186869393112	15012.081471261894	15218.29226752433
eucore	GCN_AE	20	15115.186869393112	15012.081471261894	15218.29226752433
eucore	GraphRNN	1	435.10964257450394	409.90308848010454	460.31619666890333
eucore	GraphRNN	2	713.8002892747434	696.5584771528346	731.0421013966521
eucore	GraphRNN	3	885.6503118220727	872.0652421479024	899.235381496243
eucore	GraphRNN	4	977.7619059951378	975.5645664224635	979.9592455678126
eucore	GraphRNN	5	1001.4128544152449	998.9994078673537	1003.826300963136
eucore	GraphRNN	6	980.2819664474275	977.9521563471735	982.6117765476813
eucore	GraphRNN	7	959.3650809217469	955.7798899368114	962.9502719066819
eucore	GraphRNN	8	943.7989945922222	942.0315179126361	945.5664712718082
eucore	GraphRNN	9	909.6161421421873	897.7091338577918	921.5231504265828
eucore	GraphRNN	10	924.7906395018105	918.84368635046	930.737592653161
eucore	GraphRNN	11	925.6020498435117	918.218512107055	932.9855875799683
eucore	GraphRNN	12	918.2401344410736	906.695678967325	929.7845899148217
eucore	GraphRNN	13	915.1286541340717	902.3084901527293	927.948818115414
eucore	GraphRNN	14	927.3404125255162	916.6684821272365	938.0123429237958
eucore	GraphRNN	15	953.6236395654956	949.2620393173731	957.9852398136188
eucore	GraphRNN	16	954.4117044837776	943.74469098203	965.0787179855253
eucore	GraphRNN	17	982.1635073318993	973.1037465896585	991.2232680741394
eucore	GraphRNN	18	945.2689957039074	923.9839991916839	966.5539922161312
eucore	GraphRNN	19	930.9929093805127	912.1151532949775	949.870665466048
eucore	GraphRNN	20	855.3604515576839	835.1847889625116	875.5361141528564
eucore	HRG	1	442.54632268118314	398.6367961381675	486.455849224199
eucore	HRG	2	448.4030334663401	394.1466480891151	502.659418843565
eucore	HRG	3	544.1535998371503	484.2937662613726	604.0134334129276
eucore	HRG	4	651.1359266745396	602.3049503133071	699.9669030357724
eucore	HRG	5	729.3926393062216	680.3772358739553	778.4080427384878
eucore	HRG	6	862.333111249112	817.5580916652711	907.1081308329519
eucore	HRG	7	926.6071174630306	889.9407764252549	963.2734585008063
eucore	HRG	8	975.0377650308053	944.8748394950618	1005.2006905665484
eucore	HRG	9	1020.9588679422845	991.6121356994586	1050.3056001851096
eucore	HRG	10	1039.5711684552807	1011.2910302249601	1067.8513066856015
eucore	HRG	11	1060.0870398685402	1029.9038356170433	1090.2702441200365
eucore	HRG	12	1064.3288305064148	1035.0744947755181	1093.5831662373123
eucore	HRG	13	1062.2927180055897	1035.5366311724956	1089.0488048386833
eucore	HRG	14	1067.3021399201562	1042.0990251873516	1092.5052546529598
eucore	HRG	15	1058.256498460049	1034.4786711484776	1082.0343257716195
