abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0.3641664749490395	0.35959471047729996	0.368738239420779	0.3641664749490395	0.35959471047729996	0.368738239420779
0.4260341278176108	0.42303717913396477	0.4290310765012568	0.43608280007621864	0.4333397884750193	0.43882581167741797
0.5109252858747853	0.5083580290466727	0.5134925427028978	0.5288685119991295	0.5255927062568865	0.5321443177413726
0.5614733839527376	0.5599839842794329	0.5629627836260424	0.5984768166030514	0.596129225212703	0.6008244079933999
0.6982665766650938	0.694787948211277	0.7017452051189107	0.7161868921770953	0.7120176212823245	0.7203561630718661
0.8437539808542411	0.8428151557801659	0.8446928059283164	0.8411884827165947	0.8400808511127253	0.8422961143204641
0.8602720671210896	0.8594697436566076	0.8610743905855717	0.8502212954074767	0.849376693286989	0.8510658975279645
0.8612934486082707	0.8606554608335643	0.8619314363829772	0.8506801253238704	0.8499298138715894	0.8514304367761514
0.8621473359571641	0.8613394455255207	0.8629552263888075	0.8519717667194632	0.8511367245907375	0.8528068088481888
0.8628361241838185	0.8621495512509215	0.8635226971167155	0.8521044054209624	0.8512938310514672	0.8529149797904577
0.8623805812177195	0.8619330068860954	0.8628281555493437	0.8520294545288363	0.8513978093567972	0.8526610997008753
0.8630224981665262	0.8622975265006382	0.8637474698324142	0.8520111852920773	0.8513309873756201	0.8526913832085345
0.862939060954357	0.8621061378606316	0.8637719840480824	0.8520404039257123	0.8513743124677048	0.8527064953837199
0.8632461389778788	0.8627085512592241	0.8637837266965336	0.8526633357656389	0.8519638627405178	0.85336280879076
0.8630488908508674	0.8623758536258668	0.8637219280758681	0.8526254572940245	0.8518337104277274	0.8534172041603216
0.8629656269827746	0.8623587329279954	0.8635725210375538	0.8524707499683265	0.8517842713509505	0.8531572285857025
0.8630723334640701	0.8623782615955567	0.8637664053325834	0.852137373199386	0.8514519131249262	0.8528228332738458
0.8630455611691654	0.8624506516675015	0.8636404706708294	0.8515831309802719	0.8507148250229797	0.8524514369375642
0.8628682632227862	0.8620265604127023	0.8637099660328701	0.8521020515252282	0.851544339695006	0.8526597633554505
0.8636974262589251	0.8630087432684239	0.8643861092494263	0.8524718504500837	0.8518061447282396	0.8531375561719278
