	model	gen	abs_mean	abs95d	abs95u
0	HRG	1	0.0526463	0.0582544	0.0485566
1	HRG	2	0.0475217	0.0517880	0.0444106
2	HRG	3	0.0487389	0.0530207	0.0456165
3	HRG	4	0.0438008	0.0463946	0.0419093
4	HRG	5	0.0393015	0.0410097	0.0380558
5	HRG	6	0.0328883	0.0329796	0.0328217
6	HRG	7	0.0274649	0.0269223	0.0278605
7	HRG	8	0.0268104	0.0268315	0.0267951
8	HRG	9	0.0230505	0.0216059	0.0241040
9	HRG	10	0.0245801	0.0227775	0.0258947
10	HRG	11	0.0323337	0.0274201	0.0359169
11	HRG	12	0.0381290	0.0342177	0.0409814
12	HRG	13	0.0485997	0.0450322	0.0512013
13	HRG	14	0.0530981	0.0502346	0.0551862
14	HRG	15	0.0619048	0.0604675	0.0629529
15	HRG	16	0.0642980	0.0634435	0.0649211
16	HRG	17	0.0760574	0.0741234	0.0774677
17	HRG	18	0.0814425	0.0814363	0.0814471
18	HRG	19	0.0894006	0.0917544	0.0876841
19	HRG	20	0.0879327	0.0902860	0.0862167
