rule_id, collapses, edges_approx, total_cost, rule_details
25, 31, 30, 76650, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_0'  2075)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (2434  211)  (2434  935)  (1531  935)  (1531  2434)  (2283  1531)  (2283  2434)]
97, 8, 0, 76471, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (2434  211)  (2283  2434)]
25, 1, 1, 76338, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_0'  2075)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (2434  211)  (2434  935)  (1531  935)  (1531  2434)  (2283  1531)  (2283  2434)]
39, 3, 3, 76069, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2588)  ('type_1'  'type_1')  ('type_1'  2434)  ('type_1'  935)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (1369  2588)  (2075  2588)  (2434  211)  (2434  935)]
25, 3, 3, 75646, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_0'  2075)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (2434  211)  (2434  935)  (1531  935)  (1531  2434)  (2283  1531)  (2283  2434)]
97, 2, 0, 75600, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (2434  211)  (2283  2434)]
39, 5, 5, 75022, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2588)  ('type_1'  'type_1')  ('type_1'  2434)  ('type_1'  935)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (1369  2588)  (2075  2588)  (2434  211)  (2434  935)]
97, 2, 0, 74976, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (2434  211)  (2283  2434)]
25, 6, 6, 74118, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_0'  2075)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (2434  211)  (2434  935)  (1531  935)  (1531  2434)  (2283  1531)  (2283  2434)]
39, 4, 4, 73658, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2588)  ('type_1'  'type_1')  ('type_1'  2434)  ('type_1'  935)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (1369  2588)  (2075  2588)  (2434  211)  (2434  935)]
97, 3, 0, 73583, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (2434  211)  (2283  2434)]
39, 5, 5, 73005, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2588)  ('type_1'  'type_1')  ('type_1'  2434)  ('type_1'  935)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (1369  2588)  (2075  2588)  (2434  211)  (2434  935)]
97, 2, 0, 72959, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (2434  211)  (2283  2434)]
25, 7, 7, 71956, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_0'  2075)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (2434  211)  (2434  935)  (1531  935)  (1531  2434)  (2283  1531)  (2283  2434)]
97, 3, 0, 71881, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (2434  211)  (2283  2434)]
39, 7, 7, 71067, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2588)  ('type_1'  'type_1')  ('type_1'  2434)  ('type_1'  935)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (1369  2588)  (2075  2588)  (2434  211)  (2434  935)]
97, 2, 0, 71021, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (2434  211)  (2283  2434)]
38, 5, 5, 70516, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2075)  ('type_0'  2588)  ('type_1'  'type_1')  ('type_1'  2434)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (1369  2588)  (2075  2588)  (2434  211)  (2434  935)]
97, 2, 0, 70470, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (2434  211)  (2283  2434)]
25, 3, 3, 70047, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_0'  2075)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (2434  211)  (2434  935)  (1531  935)  (1531  2434)  (2283  1531)  (2283  2434)]
38, 5, 5, 69469, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2075)  ('type_0'  2588)  ('type_1'  'type_1')  ('type_1'  2434)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (1369  2588)  (2075  2588)  (2434  211)  (2434  935)]
25, 5, 5, 68756, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_0'  2075)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (2434  211)  (2434  935)  (1531  935)  (1531  2434)  (2283  1531)  (2283  2434)]
97, 2, 0, 68710, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (2434  211)  (2283  2434)]
39, 1, 1, 68604, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2588)  ('type_1'  'type_1')  ('type_1'  2434)  ('type_1'  935)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (1369  2588)  (2075  2588)  (2434  211)  (2434  935)]
25, 1, 0, 68467, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1369)  ('type_0'  2075)  ('type_1'  'type_1')  ('type_1'  2283)  (211  1369)  (211  2075)  (935  211)  (935  1369)  (1369  2075)  (2434  211)  (2434  935)  (1531  935)  (1531  2434)  (2283  1531)  (2283  2434)]
