rule_id, collapses, edges_approx, total_cost, rule_details
86, 39, 39, 75494, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1072)  ('type_0'  793)  ('type_1'  'type_1')  ('type_1'  564)  (153  793)  (153  1146)  (443  153)  (443  1146)  (793  1072)  (1146  793)  (1146  1072)  (1715  153)  (1715  443)  (564  443)  (564  1715)]
77, 22, 20, 73261, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1072)  ('type_1'  'type_1')  ('type_1'  1715)  (153  793)  (153  1146)  (443  153)  (443  1146)  (793  1072)  (1146  793)  (1146  1072)  (1715  153)  (1715  443)]
86, 3, 3, 72838, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1072)  ('type_0'  793)  ('type_1'  'type_1')  ('type_1'  564)  (153  793)  (153  1146)  (443  153)  (443  1146)  (793  1072)  (1146  793)  (1146  1072)  (1715  153)  (1715  443)  (564  443)  (564  1715)]
77, 22, 22, 70540, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1072)  ('type_1'  'type_1')  ('type_1'  1715)  (153  793)  (153  1146)  (443  153)  (443  1146)  (793  1072)  (1146  793)  (1146  1072)  (1715  153)  (1715  443)]
86, 3, 3, 70117, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1072)  ('type_0'  793)  ('type_1'  'type_1')  ('type_1'  564)  (153  793)  (153  1146)  (443  153)  (443  1146)  (793  1072)  (1146  793)  (1146  1072)  (1715  153)  (1715  443)  (564  443)  (564  1715)]
77, 17, 17, 68344, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1072)  ('type_1'  'type_1')  ('type_1'  1715)  (153  793)  (153  1146)  (443  153)  (443  1146)  (793  1072)  (1146  793)  (1146  1072)  (1715  153)  (1715  443)]
86, 3, 3, 67921, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1072)  ('type_0'  793)  ('type_1'  'type_1')  ('type_1'  564)  (153  793)  (153  1146)  (443  153)  (443  1146)  (793  1072)  (1146  793)  (1146  1072)  (1715  153)  (1715  443)  (564  443)  (564  1715)]
77, 7, 7, 67198, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1072)  ('type_1'  'type_1')  ('type_1'  1715)  (153  793)  (153  1146)  (443  153)  (443  1146)  (793  1072)  (1146  793)  (1146  1072)  (1715  153)  (1715  443)]
86, 4, 4, 66630, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1072)  ('type_0'  793)  ('type_1'  'type_1')  ('type_1'  564)  (153  793)  (153  1146)  (443  153)  (443  1146)  (793  1072)  (1146  793)  (1146  1072)  (1715  153)  (1715  443)  (564  443)  (564  1715)]
1, 15, 0, 66448, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1733)  ('type_1'  'type_1')  ('type_1'  1580)  (1228  1733)  (1580  1228)]
77, 12, 12, 65200, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1072)  ('type_1'  'type_1')  ('type_1'  1715)  (153  793)  (153  1146)  (443  153)  (443  1146)  (793  1072)  (1146  793)  (1146  1072)  (1715  153)  (1715  443)]
86, 1, 1, 65067, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1072)  ('type_0'  793)  ('type_1'  'type_1')  ('type_1'  564)  (153  793)  (153  1146)  (443  153)  (443  1146)  (793  1072)  (1146  793)  (1146  1072)  (1715  153)  (1715  443)  (564  443)  (564  1715)]
73, 2, 2, 64981, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  793)  ('type_1'  'type_1')  ('type_1'  1715)  (153  793)  (153  1146)  (443  153)  (443  1146)  (1146  793)  (1715  153)  (1715  443)]
86, 2, 2, 64703, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1072)  ('type_0'  793)  ('type_1'  'type_1')  ('type_1'  564)  (153  793)  (153  1146)  (443  153)  (443  1146)  (793  1072)  (1146  793)  (1146  1072)  (1715  153)  (1715  443)  (564  443)  (564  1715)]
73, 6, 6, 64247, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  793)  ('type_1'  'type_1')  ('type_1'  1715)  (153  793)  (153  1146)  (443  153)  (443  1146)  (1146  793)  (1715  153)  (1715  443)]
86, 1, 1, 64114, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1072)  ('type_0'  793)  ('type_1'  'type_1')  ('type_1'  564)  (153  793)  (153  1146)  (443  153)  (443  1146)  (793  1072)  (1146  793)  (1146  1072)  (1715  153)  (1715  443)  (564  443)  (564  1715)]
73, 6, 6, 63658, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  793)  ('type_1'  'type_1')  ('type_1'  1715)  (153  793)  (153  1146)  (443  153)  (443  1146)  (1146  793)  (1715  153)  (1715  443)]
