rule_id, collapses, edges_approx, total_cost, rule_details
0, 2, 3, 84462, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2753)  ('type_1'  'type_1')  ('type_1'  2533)  (2753  2533)]
64, 11, 18, 84499, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
124, 2, 2, 84513, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1245)  ('type_1'  'type_1')  ('type_1'  1245)  (1245  2347)]
64, 10, 16, 84547, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
1, 2, 3, 84563, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1339)  ('type_1'  'type_1')  ('type_1'  1339)  (59  1339)]
124, 1, 2, 84578, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1245)  ('type_1'  'type_1')  ('type_1'  1245)  (1245  2347)]
64, 4, 6, 84598, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
4, 1, 2, 84601, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2419)  ('type_1'  'type_1')  ('type_1'  1339)  (59  1339)  (2419  59)]
64, 1, 1, 84614, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
124, 2, 2, 84628, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1245)  ('type_1'  'type_1')  ('type_1'  1245)  (1245  2347)]
64, 6, 8, 84650, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  59)  ('type_1'  'type_1')  ('type_1'  2419)  (2419  59)]
1, 1, 1, 84663, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1339)  ('type_1'  'type_1')  ('type_1'  1339)  (59  1339)]
124, 3, 5, 84682, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1245)  ('type_1'  'type_1')  ('type_1'  1245)  (1245  2347)]
