rule_id, collapses, edges_approx, total_cost, rule_details
36, 427, 428, 13279, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2563)  ('type_1'  'type_1')  ('type_1'  691)  (583  608)  (583  621)  (608  2045)  (608  2563)  (621  608)  (621  2045)  (1579  583)  (1579  621)  (1820  583)  (1820  1579)  (2045  2563)  (691  1579)  (691  1820)]
50, 1, 1, 13236, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  608)  ('type_1'  'type_1')  ('type_1'  691)  ('type_1'  1301)  (583  608)  (583  621)  (621  608)  (1579  583)  (1579  621)  (1820  583)  (1820  1579)  (691  1579)  (691  1820)  (1301  691)  (1301  1820)]
131, 1, 0, 13221, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  608)  ('type_1'  'type_1')  ('type_1'  1579)  ('type_1'  583)  (583  608)  (583  621)  (621  608)  (1579  583)  (1579  621)]
1529, 1, 0, 13240, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_1'  'type_1')  (0  17)  (17  0)]
Basic edge list: 81023 bits
Final compression: 13240 bits (16.34103896424472 percent)
Best compression: 13221 bits (16.317588832800563 percent) occurred with 2998 of 3000 nodes compressed (99.93333333333334 percent)

real	18m40.429s
user	18m35.610s
sys	0m3.753s
