rule_id, collapses, edges_approx, total_cost, rule_details
259, 6, 0, 80692, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1336)  ('type_1'  'type_1')  ('type_1'  700)  ('type_1'  2084)  (329  1336)  (700  329)  (700  1336)  (2084  329)  (2084  700)]
359, 10, 0, 80455, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  329)  ('type_1'  'type_1')  ('type_1'  2084)  (700  329)  (2084  329)  (2084  700)]
360, 6, 0, 80252, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  329)  ('type_1'  'type_1')  ('type_1'  700)  ('type_1'  2084)  (700  329)  (2084  329)  (2084  700)]
248, 662, 571, 80765, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  329)  ('type_1'  'type_1')  ('type_1'  2084)  (2084  329)]
259, 1, 0, 80709, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1336)  ('type_1'  'type_1')  ('type_1'  700)  ('type_1'  2084)  (329  1336)  (700  329)  (700  1336)  (2084  329)  (2084  700)]
0, 57, 30, 80745, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  329)  ('type_1'  'type_1')  ('type_1'  329)  (329  1200)]
259, 1, 0, 80689, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1336)  ('type_1'  'type_1')  ('type_1'  700)  ('type_1'  2084)  (329  1336)  (700  329)  (700  1336)  (2084  329)  (2084  700)]
262, 6, 4, 80127, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1336)  ('type_0'  1118)  ('type_1'  'type_1')  ('type_1'  700)  ('type_1'  2084)  (329  1118)  (329  1336)  (700  329)  (700  1336)  (1336  1118)  (2084  329)  (2084  700)]
247, 59, 40, 80181, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  329)  ('type_1'  'type_1')  ('type_1'  329)  (2084  329)]
359, 2, 0, 80137, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  329)  ('type_1'  'type_1')  ('type_1'  2084)  (700  329)  (2084  329)  (2084  700)]
248, 116, 103, 80239, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  329)  ('type_1'  'type_1')  ('type_1'  2084)  (2084  329)]
262, 3, 3, 79952, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1336)  ('type_0'  1118)  ('type_1'  'type_1')  ('type_1'  700)  ('type_1'  2084)  (329  1118)  (329  1336)  (700  329)  (700  1336)  (1336  1118)  (2084  329)  (2084  700)]
0, 67, 55, 80007, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  329)  ('type_1'  'type_1')  ('type_1'  329)  (329  1200)]
247, 17, 11, 80024, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  329)  ('type_1'  'type_1')  ('type_1'  329)  (2084  329)]
360, 2, 0, 79954, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  329)  ('type_1'  'type_1')  ('type_1'  700)  ('type_1'  2084)  (700  329)  (2084  329)  (2084  700)]
259, 2, 2, 79836, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1336)  ('type_1'  'type_1')  ('type_1'  700)  ('type_1'  2084)  (329  1336)  (700  329)  (700  1336)  (2084  329)  (2084  700)]
248, 335, 320, 80153, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  329)  ('type_1'  'type_1')  ('type_1'  2084)  (2084  329)]
259, 11, 11, 79450, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1336)  ('type_1'  'type_1')  ('type_1'  700)  ('type_1'  2084)  (329  1336)  (700  329)  (700  1336)  (2084  329)  (2084  700)]
247, 56, 51, 79508, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  329)  ('type_1'  'type_1')  ('type_1'  329)  (2084  329)]
248, 5, 0, 79515, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  329)  ('type_1'  'type_1')  ('type_1'  2084)  (2084  329)]
257, 7, 7, 79113, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1336)  ('type_0'  329)  ('type_1'  'type_1')  ('type_1'  2084)  (329  1336)  (700  329)  (700  1336)  (2084  329)  (2084  700)]
