model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Linear_AE	1	0.4969046	0.4966077	0.4972016	0.4969046	0.4966077	0.4972016
Linear_AE	2	0.4974540	0.4971877	0.4977204	0.0005494	0.0002763	0.0008225
Linear_AE	3	0.4985719	0.4983540	0.4987899	0.0011179	0.0007898	0.0014460
Linear_AE	4	0.4987566	0.4984942	0.4990189	0.0001846	0.0000143	0.0003550
Linear_AE	5	0.4988207	0.4985438	0.4990976	0.0000641	-0.0000649	0.0001931
Linear_AE	6	0.4988806	0.4986542	0.4991070	0.0000599	-0.0001341	0.0002539
Linear_AE	7	0.4988294	0.4986576	0.4990012	-0.0000512	-0.0001325	0.0000301
Linear_AE	8	0.4988270	0.4986600	0.4989939	-0.0000024	-0.0001089	0.0001040
Linear_AE	9	0.4988256	0.4986633	0.4989880	-0.0000013	-0.0001065	0.0001039
Linear_AE	10	0.4988734	0.4987122	0.4990347	0.0000478	-0.0000329	0.0001284
Linear_AE	11	0.4988773	0.4986914	0.4990631	0.0000038	-0.0000399	0.0000475
Linear_AE	12	0.4988817	0.4986933	0.4990701	0.0000044	-0.0000278	0.0000366
Linear_AE	13	0.4988980	0.4987074	0.4990886	0.0000163	-0.0000166	0.0000492
Linear_AE	14	0.4989005	0.4987033	0.4990978	0.0000026	-0.0000355	0.0000406
Linear_AE	15	0.4988969	0.4987010	0.4990929	-0.0000036	-0.0000231	0.0000159
Linear_AE	16	0.4988994	0.4987062	0.4990926	0.0000024	-0.0000098	0.0000147
Linear_AE	17	0.4989015	0.4987121	0.4990910	0.0000022	-0.0000060	0.0000103
Linear_AE	18	0.4989010	0.4987127	0.4990893	-0.0000005	-0.0000111	0.0000101
Linear_AE	19	0.4988970	0.4987141	0.4990800	-0.0000040	-0.0000317	0.0000237
Linear_AE	20	0.4989409	0.4987447	0.4991371	0.0000439	-0.0000212	0.0001089
