model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Erdos-Renyi	1	0.0000052	-0.0000675	0.0000779	0.0000052	-0.0000675	0.0000779
Erdos-Renyi	2	-0.0000062	-0.0001141	0.0001017	-0.0000114	-0.0000879	0.0000652
Erdos-Renyi	3	0.0000001	-0.0001351	0.0001354	0.0000063	-0.0000741	0.0000867
Erdos-Renyi	4	0.0000073	-0.0001537	0.0001683	0.0000072	-0.0000797	0.0000940
Erdos-Renyi	5	-0.0000738	-0.0002578	0.0001103	-0.0000811	-0.0001546	-0.0000075
Erdos-Renyi	6	-0.0000241	-0.0002290	0.0001809	0.0000497	-0.0000354	0.0001348
Erdos-Renyi	7	-0.0000633	-0.0003003	0.0001737	-0.0000392	-0.0001262	0.0000478
Erdos-Renyi	8	-0.0000627	-0.0003245	0.0001992	0.0000006	-0.0000819	0.0000831
Erdos-Renyi	9	-0.0000722	-0.0003413	0.0001969	-0.0000095	-0.0000744	0.0000554
Erdos-Renyi	10	-0.0000868	-0.0003641	0.0001906	-0.0000146	-0.0000981	0.0000690
Erdos-Renyi	11	-0.0000857	-0.0003735	0.0002020	0.0000010	-0.0000799	0.0000819
Erdos-Renyi	12	-0.0000504	-0.0003328	0.0002320	0.0000353	-0.0000401	0.0001107
Erdos-Renyi	13	-0.0001210	-0.0004085	0.0001666	-0.0000706	-0.0001444	0.0000033
Erdos-Renyi	14	-0.0000802	-0.0003848	0.0002243	0.0000407	-0.0000331	0.0001146
Erdos-Renyi	15	-0.0000898	-0.0003909	0.0002113	-0.0000096	-0.0000739	0.0000548
Erdos-Renyi	16	-0.0000580	-0.0003628	0.0002468	0.0000318	-0.0000424	0.0001061
Erdos-Renyi	17	0.0000007	-0.0003203	0.0003216	0.0000586	-0.0000254	0.0001427
Erdos-Renyi	18	0.0000759	-0.0002658	0.0004176	0.0000752	0.0000029	0.0001476
Erdos-Renyi	19	0.0001269	-0.0002190	0.0004729	0.0000510	-0.0000170	0.0001191
Erdos-Renyi	20	0.0001245	-0.0002138	0.0004628	-0.0000024	-0.0000698	0.0000650
