model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
BTER	1	-0.0028924	-0.0029036	-0.0028812	-0.0028924	-0.0029036	-0.0028812
BTER	2	-0.0046924	-0.0047094	-0.0046753	-0.0018000	-0.0018132	-0.0017868
BTER	3	-0.0058784	-0.0059069	-0.0058499	-0.0011860	-0.0012109	-0.0011611
BTER	4	-0.0067003	-0.0067296	-0.0066710	-0.0008219	-0.0008356	-0.0008082
BTER	5	-0.0073409	-0.0073657	-0.0073160	-0.0006406	-0.0006586	-0.0006225
BTER	6	-0.0079598	-0.0079858	-0.0079337	-0.0006189	-0.0006329	-0.0006049
BTER	7	-0.0085408	-0.0085703	-0.0085113	-0.0005810	-0.0005936	-0.0005685
BTER	8	-0.0090597	-0.0090906	-0.0090288	-0.0005189	-0.0005312	-0.0005066
BTER	9	-0.0094998	-0.0095330	-0.0094666	-0.0004401	-0.0004527	-0.0004276
BTER	10	-0.0099143	-0.0099493	-0.0098793	-0.0004145	-0.0004258	-0.0004031
BTER	11	-0.0103200	-0.0103546	-0.0102855	-0.0004057	-0.0004147	-0.0003967
BTER	12	-0.0106921	-0.0107236	-0.0106606	-0.0003721	-0.0003845	-0.0003596
BTER	13	-0.0110201	-0.0110511	-0.0109891	-0.0003280	-0.0003356	-0.0003204
BTER	14	-0.0113376	-0.0113661	-0.0113091	-0.0003175	-0.0003263	-0.0003087
BTER	15	-0.0116603	-0.0116897	-0.0116310	-0.0003228	-0.0003321	-0.0003134
BTER	16	-0.0119581	-0.0119886	-0.0119276	-0.0002978	-0.0003073	-0.0002883
BTER	17	-0.0122397	-0.0122721	-0.0122072	-0.0002815	-0.0002902	-0.0002729
BTER	18	-0.0124962	-0.0125296	-0.0124627	-0.0002565	-0.0002631	-0.0002499
BTER	19	-0.0127556	-0.0127902	-0.0127210	-0.0002594	-0.0002675	-0.0002514
BTER	20	-0.0130028	-0.0130381	-0.0129676	-0.0002472	-0.0002559	-0.0002386
