,name,orig_n,orig_m,model,sel,trial_id,gen_id,gen_n,gen_m,deltacon0,lambda_dist,degree_cvm,pagerank_cvm,pgd_pearson,pgd_spearman,node_diff,edge_diff,num_components,giant_frac,num_clusters,modularity
29,flights,2905,15645,CNRG,fast,2,10,3004,9530,12588.291,36.171,0.115,0.113,3.7320610994151515e-05,0.05882352941176472,99.0,6115.0,1,1.0,27,0.5452348578355862
30,flights,2905,15645,CNRG,fast,2,11,3014,9413,12567.143,37.065,0.127,0.124,3.924366280561031e-05,0.0808823529411763,109.0,6232.0,1,1.0,20,0.5372528926809631
31,flights,2905,15645,CNRG,fast,2,12,3038,9325,12262.205,37.676,0.101,0.131,4.18320295854091e-05,0.0808823529411763,133.0,6320.0,1,1.0,24,0.534718892538579
32,flights,2905,15645,CNRG,fast,2,13,3033,9243,12245.318,38.304,0.103,0.135,4.235695384569027e-05,0.0808823529411763,128.0,6402.0,1,1.0,19,0.5215711193919812
33,flights,2905,15645,CNRG,fast,2,14,3023,9150,12259.333,38.702,0.099,0.146,4.271058125249194e-05,0.0808823529411763,118.0,6495.0,1,1.0,16,0.5069787452596376
34,flights,2905,15645,CNRG,fast,2,15,3014,9071,12222.629,39.09,0.103,0.151,4.2977638852970124e-05,0.0808823529411763,109.0,6574.0,1,1.0,18,0.49772637839187306
35,flights,2905,15645,CNRG,fast,2,16,3016,9026,12454.509,39.552,0.088,0.159,4.3593775909012145e-05,0.0808823529411763,111.0,6619.0,1,1.0,21,0.49113627426570683
36,flights,2905,15645,CNRG,fast,2,17,3044,9014,12254.354,39.069,0.084,0.169,4.5699346932659424e-05,0.09068627450980382,139.0,6631.0,1,1.0,22,0.4899212324058296
37,flights,2905,15645,CNRG,fast,2,18,3037,8985,12008.111,39.423,0.087,0.178,4.546863612986396e-05,0.09068627450980382,132.0,6660.0,1,1.0,22,0.4808213776191011
38,flights,2905,15645,CNRG,fast,2,19,3010,8900,11970.76,39.78,0.083,0.189,4.450110109921468e-05,0.09068627450980382,105.0,6745.0,1,1.0,21,0.4725858224971593
39,flights,2905,15645,CNRG,fast,2,20,3034,8888,12217.883,39.268,0.102,0.189,4.6437161470680444e-05,0.09068627450980382,129.0,6757.0,1,1.0,25,0.45003928273115346
40,flights,2905,15645,CNRG,fast,3,1,2878,13789,11071.079,11.79,0.116,0.023,1.964650835795112e-06,0.0,27.0,1856.0,1,1.0,34,0.6401903083101007
41,flights,2905,15645,CNRG,fast,3,2,2860,12564,11200.396,16.527,0.112,0.04,5.626640934841554e-06,0.004901960784313708,45.0,3081.0,1,1.0,38,0.6310097268556148
42,flights,2905,15645,CNRG,fast,3,3,2853,11578,12067.868,21.634,0.147,0.064,1.0490012819608374e-05,0.009803921568627305,52.0,4067.0,1,1.0,43,0.6186272960485428
43,flights,2905,15645,CNRG,fast,3,4,2864,10987,12946.072,25.462,0.118,0.074,1.5068789687711082e-05,0.026960784313725283,41.0,4658.0,1,1.0,46,0.6081568436262025
44,flights,2905,15645,CNRG,fast,3,5,2868,10487,12756.244,28.469,0.152,0.089,1.9171709028542594e-05,0.031862745098039214,37.0,5158.0,1,1.0,44,0.6006774642471469
45,flights,2905,15645,CNRG,fast,3,6,2868,10167,12690.202,31.167,0.143,0.105,2.174639039587145e-05,0.039215686274509776,37.0,5478.0,1,1.0,42,0.5895451342727921
46,flights,2905,15645,CNRG,fast,3,7,2862,9910,12504.809,32.798,0.143,0.119,2.3597539155262304e-05,0.051470588235294046,43.0,5735.0,1,1.0,36,0.5815381776044944
47,flights,2905,15645,CNRG,fast,3,8,2890,9749,12172.21,33.75,0.137,0.124,2.699810430484284e-05,0.051470588235294046,15.0,5896.0,1,1.0,31,0.5738115318980718
48,flights,2905,15645,CNRG,fast,3,9,2907,9581,11990.378,34.605,0.096,0.131,2.9853963054993216e-05,0.051470588235294046,2.0,6064.0,1,1.0,35,0.5671061261883897
49,flights,2905,15645,CNRG,fast,3,10,2891,9391,11932.794,35.331,0.139,0.144,3.069706928759963e-05,0.06617647058823528,14.0,6254.0,1,1.0,34,0.5602775813068479
50,flights,2905,15645,CNRG,fast,3,11,2888,9277,11723.469,35.877,0.161,0.152,3.166244100105686e-05,0.0808823529411763,17.0,6368.0,1,1.0,42,0.5540909817070755
51,flights,2905,15645,CNRG,fast,3,12,2906,9185,11512.217,36.91,0.091,0.154,3.391605944946807e-05,0.0808823529411763,1.0,6460.0,1,1.0,30,0.5422038429203845
52,flights,2905,15645,CNRG,fast,3,13,2934,9136,11280.679,37.287,0.096,0.157,3.643356873128667e-05,0.0808823529411763,29.0,6509.0,1,1.0,28,0.5261930607461947
53,flights,2905,15645,CNRG,fast,3,14,2924,9000,11264.983,37.76,0.09,0.162,3.7263320121216914e-05,0.0808823529411763,19.0,6645.0,1,1.0,31,0.5210052345679014
54,flights,2905,15645,CNRG,fast,3,15,2902,8926,11219.76,38.298,0.158,0.17,3.647619578184269e-05,0.0808823529411763,3.0,6719.0,1,1.0,25,0.5096590739934579
55,flights,2905,15645,CNRG,fast,3,16,2885,8817,11338.563,38.715,0.134,0.177,3.653159522298832e-05,0.0808823529411763,20.0,6828.0,1,1.0,24,0.5017909881038709
56,flights,2905,15645,CNRG,fast,3,17,2856,8725,11260.875,39.079,0.141,0.186,3.543722549603778e-05,0.0808823529411763,49.0,6920.0,1,1.0,25,0.4944557959294258
57,flights,2905,15645,CNRG,fast,3,18,2877,8701,11170.355,39.25,0.123,0.194,3.7226643545884563e-05,0.0808823529411763,28.0,6944.0,1,1.0,25,0.48098271132039
58,flights,2905,15645,CNRG,fast,3,19,2886,8664,11059.243,39.539,0.138,0.198,3.8294787982784406e-05,0.0808823529411763,19.0,6981.0,1,1.0,22,0.47316126302233247
59,flights,2905,15645,CNRG,fast,3,20,2906,8642,11109.939,39.801,0.069,0.203,4.0042259302097705e-05,0.0808823529411763,1.0,7003.0,1,1.0,22,0.4637826567891955
60,flights,2905,15645,CNRG,fast,4,1,2893,13776,11283.707,11.535,0.082,0.02,2.422783734856715e-06,0.0,12.0,1869.0,1,1.0,38,0.6396715737219439
61,flights,2905,15645,CNRG,fast,4,2,2876,12562,11160.563,17.102,0.109,0.037,6.302878157171676e-06,0.007352941176470451,29.0,3083.0,1,1.0,40,0.6284686607507487
62,flights,2905,15645,CNRG,fast,4,3,2903,11705,11427.763,22.096,0.149,0.047,1.232324864930412e-05,0.009803921568627305,2.0,3940.0,1,1.0,41,0.6196126111051617
63,flights,2905,15645,CNRG,fast,4,4,2900,11087,11377.017,25.114,0.156,0.059,1.6443531831833447e-05,0.026960784313725283,5.0,4558.0,1,1.0,37,0.6127713436524718
64,flights,2905,15645,CNRG,fast,4,5,2915,10647,11391.011,27.465,0.098,0.073,2.0820278838429296e-05,0.031862745098039214,10.0,4998.0,1,1.0,38,0.6070597734663453
65,flights,2905,15645,CNRG,fast,4,6,2909,10247,11304.742,29.565,0.094,0.085,2.3954820558502732e-05,0.031862745098039214,4.0,5398.0,1,1.0,48,0.6001123332062445
66,flights,2905,15645,CNRG,fast,4,7,2913,9938,11658.56,31.462,0.105,0.093,2.6950979516104923e-05,0.039215686274509776,8.0,5707.0,1,1.0,32,0.5869076238061374
67,flights,2905,15645,CNRG,fast,4,8,2909,9717,11655.972,32.2,0.089,0.1,2.8831277701923952e-05,0.051470588235294046,4.0,5928.0,1,1.0,38,0.5776635679722769
