,name,orig_n,orig_m,model,sel,trial_id,gen_id,gen_n,gen_m,deltacon0,lambda_dist,degree_cvm,pagerank_cvm,pgd_pearson,pgd_spearman,node_diff,edge_diff,num_components,giant_frac,num_clusters,modularity
0,tree,2955,2954,CNRG,fast,1,1,2935,2934,14073.628,0.015,0.125,0.051,4.0756120700535803e-10,0.0,20.0,20.0,1,1.0,59,0.9620845722458503
1,tree,2955,2954,CNRG,fast,1,2,2934,2933,14157.296,0.02,0.125,0.052,4.5079884269938475e-10,0.0,21.0,21.0,1,1.0,55,0.9624892284081971
2,tree,2955,2954,CNRG,fast,1,3,2961,2960,14236.376,0.01,0.125,0.061,3.636735357304133e-11,0.0,6.0,6.0,1,1.0,56,0.9628078204894083
3,tree,2955,2954,CNRG,fast,1,4,2981,2980,14301.556,0.014,0.188,0.127,6.695433096837178e-10,0.0,26.0,26.0,1,1.0,55,0.962779548218549
4,tree,2955,2954,CNRG,fast,1,5,3009,3008,14386.319,0.02,0.188,0.188,2.8291261555679625e-09,0.0,54.0,54.0,1,1.0,59,0.9627829776624035
5,tree,2955,2954,CNRG,fast,1,6,3001,3000,14234.964,0.034,0.188,0.175,2.0626335084372727e-09,0.0,46.0,46.0,1,1.0,58,0.9628818888888889
6,tree,2955,2954,CNRG,fast,1,7,2975,2974,14092.492,0.037,0.188,0.108,3.952723703903871e-10,0.0,20.0,20.0,1,1.0,55,0.9626980683068549
7,tree,2955,2954,CNRG,fast,1,8,2947,2946,13982.427,0.052,0.188,0.05,6.546085895564602e-11,0.0,8.0,8.0,1,1.0,57,0.9625879545325707
8,tree,2955,2954,CNRG,fast,1,9,2918,2917,13950.747,0.034,0.188,0.094,1.4169004858288758e-09,0.0,37.0,37.0,1,1.0,54,0.9625045055823387
9,tree,2955,2954,CNRG,fast,1,10,2896,2895,13843.144,0.036,0.188,0.155,3.655498903576415e-09,0.0,59.0,59.0,1,1.0,57,0.9622193586106712
10,tree,2955,2954,CNRG,fast,1,11,2910,2909,13876.015,0.052,0.188,0.117,2.1071587807952596e-09,0.0,45.0,45.0,1,1.0,56,0.9624459409939234
11,tree,2955,2954,CNRG,fast,1,12,2931,2930,13967.778,0.066,0.188,0.053,5.917234480179445e-10,0.0,24.0,24.0,1,1.0,52,0.96237352793859
12,tree,2955,2954,CNRG,fast,1,13,2926,2925,13979.512,0.056,0.188,0.069,8.670204554306338e-10,0.0,29.0,29.0,1,1.0,56,0.9624539995616918
13,tree,2955,2954,CNRG,fast,1,14,2937,2936,13931.102,0.069,0.188,0.055,3.335377529722905e-10,0.0,18.0,18.0,1,1.0,57,0.9625529112436803
14,tree,2955,2954,CNRG,fast,1,15,2917,2916,13844.923,0.1,0.188,0.087,1.5001649922297133e-09,0.0,38.0,38.0,1,1.0,58,0.9626583665919639
15,tree,2955,2954,CNRG,fast,1,16,2938,2937,13984.086,0.09,0.188,0.058,2.974339663452952e-10,0.0,17.0,17.0,1,1.0,57,0.9626025783306199
16,tree,2955,2954,CNRG,fast,1,17,2936,2935,13887.263,0.098,0.188,0.057,3.723445995973407e-10,0.0,19.0,19.0,1,1.0,56,0.9627827808073273
17,tree,2955,2954,CNRG,fast,1,18,2923,2922,13830.809,0.089,0.188,0.069,1.062253063288665e-09,0.0,32.0,32.0,1,1.0,56,0.9623266765705283
18,tree,2955,2954,CNRG,fast,1,19,2902,2901,13779.925,0.091,0.188,0.134,2.946803023817779e-09,0.0,53.0,53.0,1,1.0,57,0.9623375124958397
19,tree,2955,2954,CNRG,fast,1,20,2881,2880,13732.955,0.076,0.188,0.191,5.817219594916878e-09,0.0,74.0,74.0,1,1.0,57,0.9623788339120364
20,tree,2955,2954,CNRG,fast,2,1,2979,2978,14205.552,0.018,0.125,0.133,5.696954019640543e-10,0.0,24.0,24.0,1,1.0,59,0.962553126329145
