rule_id, collapses, edges_approx, total_cost, rule_details
99, 2, 2, 26547, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1866)  ('type_1'  'type_1')  ('type_1'  1275)  (2580  1275)  (1617  1866)  (1617  2580)]
86, 3, 0, 26556, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1551)  ('type_1'  'type_1')  ('type_1'  2270)  (2270  1551)]
99, 1, 1, 26542, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1866)  ('type_1'  'type_1')  ('type_1'  1275)  (2580  1275)  (1617  1866)  (1617  2580)]
57, 1, 0, 26539, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1249)  ('type_1'  'type_1')  ('type_1'  2479)  (1249  1988)  (2479  1988)]
99, 4, 4, 26447, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1866)  ('type_1'  'type_1')  ('type_1'  1275)  (2580  1275)  (1617  1866)  (1617  2580)]
86, 3, 0, 26456, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1551)  ('type_1'  'type_1')  ('type_1'  2270)  (2270  1551)]
100, 5, 5, 26408, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  833)  ('type_1'  'type_1')  ('type_1'  2513)  (1949  833)  (2513  833)]
86, 2, 0, 26418, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1551)  ('type_1'  'type_1')  ('type_1'  2270)  (2270  1551)]
100, 7, 7, 26346, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  833)  ('type_1'  'type_1')  ('type_1'  2513)  (1949  833)  (2513  833)]
86, 2, 0, 26356, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1551)  ('type_1'  'type_1')  ('type_1'  2270)  (2270  1551)]
9, 1, 1, 26342, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  952)  ('type_1'  'type_1')  ('type_1'  952)  (1478  886)  (1478  2921)  (952  1478)]
