rule_id, collapses, edges_approx, total_cost, rule_details
17, 496, 0, 6920, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2296)  ('type_1'  'type_1')  ('type_1'  574)  (574  1148)  (574  1149)  (1148  2296)  (1148  2297)  (1149  2298)  (1149  2299)]
56, 5, 0, 6828, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  574)  ('type_1'  'type_1')  ('type_1'  574)  (574  1148)  (1148  2296)  (1148  2297)]
62, 2, 0, 6823, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1352)  ('type_1'  'type_1')  ('type_1'  338)  (338  676)  (676  1352)  (1352  2704)]
784, 1, 0, 6851, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1)  ('type_1'  'type_1')  ('type_1'  6)  (1  3)  (3  6)]
Basic edge list: 42010 bits
Final compression: 6851 bits (16.308021899547725 percent)
Best compression: 6823 bits (16.241371102118542 percent) occurred with 2997 of 3000 nodes compressed (99.9 percent)

real	11m45.775s
user	11m46.426s
sys	0m2.317s
