rule_id, collapses, edges_approx, total_cost, rule_details
17, 403, 21, 13607, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1796)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)  (449  899)  (898  1796)  (898  1797)  (899  1798)  (899  1799)]
10, 45, 1, 11131, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  899)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)  (449  899)  (898  1796)  (898  1797)  (899  1798)]
4445, 10, 0, 10646, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2275)  ('type_1'  'type_1')  ('type_1'  1137)  (1137  2274)  (1137  2275)  (2275  1411)  (1411  2822)  (1411  2823)]
56, 23, 0, 10032, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  449)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)  (898  1796)  (898  1797)]
3, 37, 0, 9520, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2832)  ('type_1'  'type_1')  ('type_1'  1416)  (1416  2832)  (1416  2833)]
8, 7, 0, 9370, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  899)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)  (449  899)  (898  1796)]
7, 22, 0, 9381, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  898)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)]
8, 1, 1, 9367, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  899)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)  (449  899)  (898  1796)]
56, 1, 0, 9350, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  449)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)  (898  1796)  (898  1797)]
8, 5, 4, 9229, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  899)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)  (449  899)  (898  1796)]
17, 1, 1, 9174, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1796)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)  (449  899)  (898  1796)  (898  1797)  (899  1798)  (899  1799)]
8, 2, 1, 9131, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  899)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)  (449  899)  (898  1796)]
3, 2, 0, 9113, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2832)  ('type_1'  'type_1')  ('type_1'  1416)  (1416  2832)  (1416  2833)]
8, 3, 3, 9047, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  899)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)  (449  899)  (898  1796)]
10, 1, 0, 9002, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  899)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)  (449  899)  (898  1796)  (898  1797)  (899  1798)]
3, 1, 0, 8999, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2832)  ('type_1'  'type_1')  ('type_1'  1416)  (1416  2832)  (1416  2833)]
8, 4, 3, 8904, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  899)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)  (449  899)  (898  1796)]
3, 2, 0, 8886, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2832)  ('type_1'  'type_1')  ('type_1'  1416)  (1416  2832)  (1416  2833)]
8, 1, 1, 8872, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  899)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)  (449  899)  (898  1796)]
3, 1, 0, 8869, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2832)  ('type_1'  'type_1')  ('type_1'  1416)  (1416  2832)  (1416  2833)]
8, 1, 1, 8855, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  899)  ('type_1'  'type_1')  ('type_1'  449)  (449  898)  (449  899)  (898  1796)]
3, 1, 0, 8852, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2832)  ('type_1'  'type_1')  ('type_1'  1416)  (1416  2832)  (1416  2833)]
22900, 1, 0, 8863, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  340)  ('type_0'  1364)  ('type_1'  'type_1')  ('type_1'  340)  ('type_1'  341)  ('type_1'  1364)  (1  340)  (1  341)  (340  1364)  (341  1364)]
Basic edge list: 42010 bits
Final compression: 8863 bits (21.097357771959057 percent)
Best compression: 8852 bits (21.071173530111878 percent) occurred with 2958 of 3000 nodes compressed (98.6 percent)

real	206m59.340s
user	206m57.532s
sys	0m2.603s
