rule_id, collapses, edges_approx, total_cost, rule_details
1294, 35, 0, 39651, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  647)  ('type_1'  'type_1')  ('type_1'  1522)  (2277  647)  (2277  2302)  (2852  1405)  (2852  1669)  (1522  2277)  (1522  2852)]
107, 40, 0, 37456, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  270)  ('type_1'  'type_1')  ('type_1'  629)  (270  1761)  (629  270)  (629  937)  (937  1686)  (937  2900)]
562, 25, 0, 36451, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2466)  ('type_1'  'type_1')  ('type_1'  2466)  (1656  1683)  (1656  2730)  (1885  1656)  (2466  1885)]
242, 204, 119, 30945, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2335)  ('type_1'  'type_1')  ('type_1'  2335)  (2620  643)  (2620  2212)  (2335  2620)]
23, 50, 34, 29001, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1522)  ('type_1'  'type_1')  ('type_1'  1431)  (124  2945)  (1747  124)  (1431  1522)  (1431  1747)]
36, 25, 0, 28329, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1522)  ('type_1'  'type_1')  ('type_1'  1431)  (1747  124)  (1431  1522)  (1431  1747)]
570, 18, 0, 27860, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2276)  ('type_1'  'type_1')  ('type_1'  2276)  (1656  1683)  (1656  2730)  (2276  1683)]
33, 14, 0, 27507, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  124)  ('type_1'  'type_1')  ('type_1'  124)  (1747  124)  (1431  1522)  (1431  1747)]
107, 1, 0, 27462, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  270)  ('type_1'  'type_1')  ('type_1'  629)  (270  1761)  (629  270)  (629  937)  (937  1686)  (937  2900)]
64, 12, 0, 27167, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  152)  ('type_1'  'type_1')  ('type_1'  467)  (2001  152)  (2001  2734)  (467  2001)]
70, 43, 31, 26066, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1684)  ('type_1'  'type_1')  ('type_1'  152)  (152  1684)  (1684  1024)  (1024  1347)]
36, 3, 0, 25991, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1522)  ('type_1'  'type_1')  ('type_1'  1431)  (1747  124)  (1431  1522)  (1431  1747)]
43, 167, 76, 23757, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1684)  ('type_1'  'type_1')  ('type_1'  152)  (152  168)  (152  1684)]
552, 10, 0, 23520, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1656)  ('type_1'  'type_1')  ('type_1'  1885)  (1656  1683)  (1656  2730)  (1885  1656)]
41, 10, 0, 23413, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  2001)  ('type_1'  'type_1')  ('type_1'  168)  (152  168)  (2001  152)]
107, 1, 0, 23368, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  270)  ('type_1'  'type_1')  ('type_1'  629)  (270  1761)  (629  270)  (629  937)  (937  1686)  (937  2900)]
