rule_id, collapses, edges_approx, total_cost, rule_details
7, 764, 0, 19931, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  600)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)  (1200  2400)  (1200  2401)]
72, 22, 0, 19055, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1202)  ('type_1'  'type_1')  ('type_1'  300)  (300  600)  (300  601)  (601  1202)  (1202  2404)]
7, 2, 0, 19009, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  600)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)  (1200  2400)  (1200  2401)]
76, 16, 0, 18391, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  130)  ('type_1'  'type_1')  ('type_1'  65)  (65  130)  (130  261)  (261  522)  (261  523)]
7, 27, 0, 17620, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  600)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)  (1200  2400)  (1200  2401)]
72, 6, 0, 17374, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1202)  ('type_1'  'type_1')  ('type_1'  300)  (300  600)  (300  601)  (601  1202)  (1202  2404)]
76, 4, 0, 17214, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  130)  ('type_1'  'type_1')  ('type_1'  65)  (65  130)  (130  261)  (261  522)  (261  523)]
7, 6, 0, 17052, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  600)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)  (1200  2400)  (1200  2401)]
72, 3, 0, 16935, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1202)  ('type_1'  'type_1')  ('type_1'  300)  (300  600)  (300  601)  (601  1202)  (1202  2404)]
7, 20, 0, 16367, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  600)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)  (1200  2400)  (1200  2401)]
72, 4, 0, 16207, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1202)  ('type_1'  'type_1')  ('type_1'  300)  (300  600)  (300  601)  (601  1202)  (1202  2404)]
7, 14, 0, 15813, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  600)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)  (1200  2400)  (1200  2401)]
72, 4, 0, 15653, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1202)  ('type_1'  'type_1')  ('type_1'  300)  (300  600)  (300  601)  (601  1202)  (1202  2404)]
7, 6, 0, 15491, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  600)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)  (1200  2400)  (1200  2401)]
72, 4, 0, 15331, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1202)  ('type_1'  'type_1')  ('type_1'  300)  (300  600)  (300  601)  (601  1202)  (1202  2404)]
7, 15, 0, 14908, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  600)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)  (1200  2400)  (1200  2401)]
72, 4, 0, 14748, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1202)  ('type_1'  'type_1')  ('type_1'  300)  (300  600)  (300  601)  (601  1202)  (1202  2404)]
7, 19, 0, 14209, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  600)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)  (1200  2400)  (1200  2401)]
72, 2, 0, 14135, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1202)  ('type_1'  'type_1')  ('type_1'  300)  (300  600)  (300  601)  (601  1202)  (1202  2404)]
2, 14, 0, 13782, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1201)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)  (600  1201)  (1200  2400)]
7, 5, 0, 13649, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  600)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)  (1200  2400)  (1200  2401)]
72, 1, 0, 13618, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1202)  ('type_1'  'type_1')  ('type_1'  300)  (300  600)  (300  601)  (601  1202)  (1202  2404)]
49, 7, 0, 13468, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  300)  ('type_1'  'type_1')  ('type_1'  300)  (300  600)  (600  1201)  (1201  2402)]
7, 4, 0, 13364, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  600)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)  (1200  2400)  (1200  2401)]
2, 2, 0, 13318, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1201)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)  (600  1201)  (1200  2400)]
7, 1, 0, 13301, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  600)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)  (1200  2400)  (1200  2401)]
0, 1, 0, 13333, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1200)  ('type_1'  'type_1')  ('type_1'  600)  (600  1200)]
Basic edge list: 42010 bits
Final compression: 13333 bits (31.737681504403714 percent)
Best compression: 13301 bits (31.661509164484645 percent) occurred with 2998 of 3000 nodes compressed (99.93333333333334 percent)

real	1m32.735s
user	1m33.643s
sys	0m1.685s
