model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Chung-Lu	1	-0.0767843	-0.0776595	-0.0759090	-0.0767843	-0.0776595	-0.0759090
Chung-Lu	2	-0.1506817	-0.1519231	-0.1494402	-0.0738974	-0.0747375	-0.0730573
Chung-Lu	3	-0.2217175	-0.2231834	-0.2202516	-0.0710358	-0.0719217	-0.0701500
Chung-Lu	4	-0.2897119	-0.2912285	-0.2881953	-0.0679944	-0.0689224	-0.0670664
Chung-Lu	5	-0.3548756	-0.3563080	-0.3534432	-0.0651637	-0.0659364	-0.0643911
Chung-Lu	6	-0.4172987	-0.4189209	-0.4156764	-0.0624230	-0.0632796	-0.0615665
Chung-Lu	7	-0.4777428	-0.4794912	-0.4759944	-0.0604441	-0.0612217	-0.0596665
Chung-Lu	8	-0.5364751	-0.5382287	-0.5347214	-0.0587323	-0.0594525	-0.0580120
Chung-Lu	9	-0.5930682	-0.5949333	-0.5912031	-0.0565931	-0.0576028	-0.0555834
Chung-Lu	10	-0.6468250	-0.6490464	-0.6446036	-0.0537569	-0.0546159	-0.0528978
Chung-Lu	11	-0.6986367	-0.7010814	-0.6961920	-0.0518117	-0.0524594	-0.0511639
Chung-Lu	12	-0.7498440	-0.7524810	-0.7472070	-0.0512073	-0.0521158	-0.0502988
Chung-Lu	13	-0.7981110	-0.8006939	-0.7955282	-0.0482670	-0.0488888	-0.0476452
Chung-Lu	14	-0.8455039	-0.8481524	-0.8428553	-0.0473928	-0.0480060	-0.0467796
Chung-Lu	15	-0.8920394	-0.8946018	-0.8894769	-0.0465355	-0.0471179	-0.0459531
Chung-Lu	16	-0.9372706	-0.9398894	-0.9346517	-0.0452312	-0.0460700	-0.0443924
Chung-Lu	17	-0.9810682	-0.9838262	-0.9783101	-0.0437976	-0.0444805	-0.0431147
Chung-Lu	18	-1.0232579	-1.0262026	-1.0203132	-0.0421897	-0.0429087	-0.0414708
Chung-Lu	19	-1.0647983	-1.0677385	-1.0618581	-0.0415404	-0.0422692	-0.0408117
Chung-Lu	20	-1.1057540	-1.1088178	-1.1026902	-0.0409557	-0.0415635	-0.0403479
