model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
BUGGE	1	-6.7086746	-6.7136582	-6.7036910	-6.7086746	-6.7136582	-6.7036910
BUGGE	2	-6.6931077	-6.6984047	-6.6878107	0.0155669	0.0085720	0.0225618
BUGGE	3	-6.6706023	-6.6773797	-6.6638249	0.0225054	0.0158757	0.0291351
BUGGE	4	-6.6471017	-6.6569952	-6.6372082	0.0235006	0.0120909	0.0349104
BUGGE	5	-6.6203888	-6.6330009	-6.6077766	0.0267129	0.0155300	0.0378958
BUGGE	6	-6.5979993	-6.6131163	-6.5828823	0.0223895	0.0071269	0.0376520
BUGGE	7	-6.5869540	-6.6036309	-6.5702771	0.0110453	-0.0067095	0.0288001
BUGGE	8	-6.6058191	-6.6144777	-6.5971606	-0.0188651	-0.0344017	-0.0033286
BUGGE	9	-6.5784254	-6.5931817	-6.5636690	0.0273938	0.0109173	0.0438703
BUGGE	10	-6.5616720	-6.5789584	-6.5443855	0.0167534	-0.0002736	0.0337803
BUGGE	11	-6.5588547	-6.5815466	-6.5361629	0.0028172	-0.0234460	0.0290805
BUGGE	12	-6.5741340	-6.5909555	-6.5573125	-0.0152793	-0.0412361	0.0106776
BUGGE	13	-6.5713328	-6.5879611	-6.5547046	0.0028012	-0.0179842	0.0235866
BUGGE	14	-6.5829541	-6.5974818	-6.5684264	-0.0116213	-0.0263209	0.0030783
BUGGE	15	-6.5727638	-6.5893821	-6.5561455	0.0101903	-0.0061249	0.0265056
BUGGE	16	-6.5814185	-6.5974268	-6.5654101	-0.0086547	-0.0297400	0.0124306
BUGGE	17	-6.5757163	-6.5916344	-6.5597981	0.0057022	-0.0098243	0.0212287
BUGGE	18	-6.5882911	-6.6032333	-6.5733489	-0.0125748	-0.0310141	0.0058644
BUGGE	19	-6.5775669	-6.5961329	-6.5590008	0.0107242	-0.0089323	0.0303807
BUGGE	20	-6.5805101	-6.6008383	-6.5601818	-0.0029432	-0.0240118	0.0181254
