model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Chung-Lu	1	-1.2368154	-1.2452390	-1.2283919	-1.2368154	-1.2452390	-1.2283919
Chung-Lu	2	-2.1640568	-2.1742503	-2.1538633	-0.9272414	-0.9345401	-0.9199427
Chung-Lu	3	-2.9085598	-2.9188227	-2.8982970	-0.7445030	-0.7523002	-0.7367059
Chung-Lu	4	-3.5312170	-3.5427659	-3.5196682	-0.6226572	-0.6296076	-0.6157068
Chung-Lu	5	-4.0682556	-4.0807764	-4.0557348	-0.5370385	-0.5423281	-0.5317490
Chung-Lu	6	-4.5357404	-4.5489592	-4.5225216	-0.4674848	-0.4733305	-0.4616391
Chung-Lu	7	-4.9496349	-4.9627030	-4.9365668	-0.4138945	-0.4188044	-0.4089846
Chung-Lu	8	-5.3211156	-5.3338600	-5.3083713	-0.3714807	-0.3771502	-0.3658113
Chung-Lu	9	-5.6566531	-5.6698508	-5.6434554	-0.3355375	-0.3411666	-0.3299085
Chung-Lu	10	-5.9598986	-5.9727405	-5.9470567	-0.3032454	-0.3086757	-0.2978152
Chung-Lu	11	-6.2457809	-6.2592168	-6.2323451	-0.2858824	-0.2910291	-0.2807356
Chung-Lu	12	-6.5071400	-6.5209351	-6.4933448	-0.2613590	-0.2660278	-0.2566902
Chung-Lu	13	-6.7520690	-6.7664653	-6.7376726	-0.2449290	-0.2501738	-0.2396842
Chung-Lu	14	-6.9796146	-6.9945876	-6.9646416	-0.2275456	-0.2316730	-0.2234183
Chung-Lu	15	-7.1934483	-7.2081084	-7.1787881	-0.2138337	-0.2186403	-0.2090270
Chung-Lu	16	-7.3949087	-7.4091581	-7.3806593	-0.2014604	-0.2050158	-0.1979051
Chung-Lu	17	-7.5798986	-7.5937152	-7.5660819	-0.1849899	-0.1885070	-0.1814727
Chung-Lu	18	-7.7571400	-7.7710823	-7.7431976	-0.1772414	-0.1810672	-0.1734155
Chung-Lu	19	-7.9251116	-7.9388800	-7.9113431	-0.1679716	-0.1718557	-0.1640875
Chung-Lu	20	-8.0838337	-8.0971759	-8.0704914	-0.1587221	-0.1620886	-0.1553556
