model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BTER	1	0.9742136087775147	0.9677306844180681	0.9806965331369614	0.9742136087775147	0.9677306844180681	0.9806965331369614
BTER	2	0.9499357194148464	0.9428947013061623	0.9569767375235306	0.9836575090202713	0.9780478668231534	0.9892671512173892
BTER	3	0.9422047242532186	0.9344277408857888	0.9499817076206483	0.9922786310689683	0.9892191771589713	0.9953380849789653
BTER	4	0.9337911369307823	0.9270597699768232	0.9405225038847415	0.9949414792320649	0.9926093323531496	0.9972736261109801
BTER	5	0.9265039371058004	0.9212455795053021	0.9317622947062987	0.997353592763242	0.9960624252226769	0.9986447603038071
BTER	6	0.9221044947120074	0.9177866081034444	0.9264223813205704	0.9983393676995627	0.9973292654106414	0.999349469988484
BTER	7	0.9205202800471989	0.9167532780858583	0.9242872820085395	0.9993249788055182	0.9989751172521529	0.9996748403588834
BTER	8	0.9189055957815236	0.9163391395404309	0.9214720520226164	0.9988982490110516	0.9977332818098502	1.000063216212253
BTER	9	0.9198208010949271	0.9170965333827451	0.9225450688071092	0.9992886497599612	0.9987858191579986	0.9997914803619239
BTER	10	0.9218266346670991	0.9182200690712419	0.9254332002629564	0.9986502837531717	0.9978232464306809	0.9994773210756625
BTER	11	0.9204303185897015	0.9172060460993094	0.9236545910800935	0.998941861335505	0.9982530480908796	0.9996306745801304
BTER	12	0.9189946841894983	0.9170181070438667	0.9209712613351299	0.9991062874331832	0.9981631405497434	1.0000494343166229
BTER	13	0.918407762268913	0.9163238526695543	0.9204916718682716	0.999160878733454	0.9985979029093331	0.999723854557575
BTER	14	0.9167659802204181	0.9166563815423439	0.9168755788984924	0.9993799614413792	0.99885808170035	0.9999018411824084
BTER	15	0.9175905708135835	0.9162951058248758	0.9188860358022912	0.9995622911714296	0.9993391060700597	0.9997854762727995
BTER	16	0.9172117210142341	0.9162854837779153	0.9181379582505529	0.9995257991422087	0.9992479405440257	0.9998036577403918
BTER	17	0.9177465502160247	0.9154752407765786	0.9200178596554708	0.9994163881897409	0.9989546521362636	0.9998781242432182
BTER	18	0.9179285759778635	0.9160332327114761	0.9198239192442509	0.9996353078266247	0.9993584769964152	0.9999121386568341
BTER	19	0.917111384522534	0.916182990205169	0.9180397788398991	0.9996352752590142	0.9993899276188333	0.9998806228991951
BTER	20	0.9166489209801014	0.9165610274009869	0.916736814559216	0.9997629158694682	0.999590836744325	0.9999349949946114
