model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BUGGE	1	0.9451166180758017	0.9422554950598694	0.947977741091734	0.9451166180758017	0.9422554950598694	0.947977741091734
BUGGE	2	0.9447521865889211	0.9417169913765379	0.9477873818013044	0.9873906705539358	0.9838241323122608	0.9909572087956108
BUGGE	3	0.9517492711370261	0.9485658612676307	0.9549326810064216	0.9895772594752185	0.9866845655635197	0.9924699533869172
BUGGE	4	0.9553935860058308	0.9520555346882159	0.9587316373234457	0.9838192419825071	0.9786810947743836	0.9889573891906307
BUGGE	5	0.957142857142857	0.9532365974258844	0.9610491168598295	0.9827988338192418	0.9785969116745892	0.9870007559638945
BUGGE	6	0.9573615160349852	0.954541186170805	0.9601818458991654	0.9861516034985421	0.9830132060917998	0.9892900009052845
BUGGE	7	0.9526967930029153	0.9476385077709301	0.9577550782349006	0.9841107871720116	0.9796242961973693	0.9885972781466539
BUGGE	8	0.9589650145772591	0.9566227329540143	0.9613072962005039	0.9842565597667637	0.9799553986703745	0.988557720863153
BUGGE	9	0.9573615160349852	0.9545882189604037	0.9601348131095667	0.9852769679300291	0.9820969329991593	0.9884570028608988
BUGGE	10	0.9551749271137023	0.951798096358607	0.9585517578687976	0.989941690962099	0.9874847392481275	0.9923986426760706
BUGGE	11	0.9505102040816326	0.9448836811682514	0.9561367269950137	0.9841107871720114	0.9795037508042025	0.9887178235398203
BUGGE	12	0.954008746355685	0.9507740283360182	0.9572434643753518	0.9848396501457723	0.9811141948881047	0.98856510540344
BUGGE	13	0.9540816326530609	0.9512879215475913	0.9568753437585304	0.9864431486880464	0.9837292117384856	0.9891570856376072
BUGGE	14	0.9565597667638481	0.9540439715760727	0.9590755619516236	0.9895772594752187	0.9869382134267465	0.9922163055236909
BUGGE	15	0.9510204081632652	0.9467752643841999	0.9552655519423304	0.9858600583090376	0.9829138780162539	0.9888062386018213
BUGGE	16	0.9560495626822155	0.9531998782498381	0.958899247114593	0.9831632653061224	0.978485679469155	0.9878408511430898
BUGGE	17	0.9529154518950438	0.9487344519599661	0.9570964518301215	0.9867346938775509	0.9840205920722905	0.9894487956828112
BUGGE	18	0.954737609329446	0.9509720171891498	0.9585032014697421	0.9865160349854226	0.9831313959067373	0.989900674064108
BUGGE	19	0.9548104956268222	0.9516796632140293	0.9579413280396151	0.9840379008746354	0.9801535798349339	0.9879222219143369
BUGGE	20	0.9522594752186588	0.9475552781039304	0.9569636723333873	0.9822886297376092	0.978337952100115	0.9862393073751035
