model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Chung-Lu	1	0.9786443148688045	0.978497767146159	0.9787908625914501	0.9786443148688045	0.978497767146159	0.9787908625914501
Chung-Lu	2	0.9701166180758014	0.9693139431413618	0.970919293010241	0.9956997084548103	0.9952819831748986	0.996117433734722
Chung-Lu	3	0.9572886297376093	0.9569955342923183	0.9575817251829003	0.9935860058309036	0.9931682805509919	0.9940037311108153
Chung-Lu	4	0.9571428571428571	0.9571428571428571	0.9571428571428571	0.9999271137026238	0.9997805659799782	1.0000736614252692
Chung-Lu	5	0.9440233236151603	0.9415071727625511	0.9465394744677694	0.9967930029154517	0.9960908216267776	0.9974951842041258
Chung-Lu	6	0.932142857142857	0.932142857142857	0.932142857142857	0.9924927113702622	0.9917905300815881	0.9931948926589362
Chung-Lu	7	0.932142857142857	0.932142857142857	0.932142857142857	1.0	1.0	1.0
Chung-Lu	8	0.932142857142857	0.932142857142857	0.932142857142857	1.0	1.0	1.0
Chung-Lu	9	0.932142857142857	0.932142857142857	0.932142857142857	1.0	1.0	1.0
Chung-Lu	10	0.9214285714285712	0.9214285714285712	0.9214285714285712	0.9964285714285712	0.9964285714285712	0.9964285714285712
Chung-Lu	11	0.9214285714285712	0.9214285714285712	0.9214285714285712	1.0	1.0	1.0
Chung-Lu	12	0.9080174927113701	0.9070235576981127	0.9090114277246275	0.9966472303206995	0.9963987465673851	0.9968957140740138
Chung-Lu	13	0.9071428571428569	0.9071428571428569	0.9071428571428569	0.9997813411078718	0.9995328573545574	1.000029824861186
Chung-Lu	14	0.8958454810495624	0.8933471754636636	0.8983437866354612	0.9977405247813411	0.9972408636641613	0.9982401858985209
Chung-Lu	15	0.889285714285714	0.889285714285714	0.889285714285714	0.9986880466472303	0.9981883855300505	0.9991877077644101
Chung-Lu	16	0.889285714285714	0.889285714285714	0.889285714285714	1.0	1.0	1.0
Chung-Lu	17	0.8890670553935859	0.8886274122256493	0.8895066985615224	0.9999271137026238	0.9997805659799782	1.0000736614252692
Chung-Lu	18	0.8857871720116616	0.8843290405819728	0.8872453034413503	0.9989067055393586	0.9984290184063848	0.9993843926723324
Chung-Lu	19	0.8787900874635567	0.8783504442956201	0.8792297306314932	0.9976676384839649	0.9971742853344435	0.9981609916334863
Chung-Lu	20	0.8785714285714283	0.8785714285714283	0.8785714285714283	0.9999271137026238	0.9997805659799782	1.0000736614252692
