model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
Erdos-Renyi	1	0.8452800	0.8432589	0.8473011	0.8452800	0.8432589	0.8473011
Erdos-Renyi	2	0.8443600	0.8416113	0.8471087	0.0435800	0.0409096	0.0462504
Erdos-Renyi	3	0.8456400	0.8417714	0.8495086	0.0446800	0.0417560	0.0476040
Erdos-Renyi	4	0.8455800	0.8416261	0.8495339	0.0450000	0.0428425	0.0471575
Erdos-Renyi	5	0.8449800	0.8402755	0.8496845	0.0447000	0.0423200	0.0470800
Erdos-Renyi	6	0.8479200	0.8431125	0.8527275	0.0459800	0.0426073	0.0493527
Erdos-Renyi	7	0.8461400	0.8406388	0.8516412	0.0445400	0.0418542	0.0472258
Erdos-Renyi	8	0.8438800	0.8382480	0.8495120	0.0460000	0.0430393	0.0489607
Erdos-Renyi	9	0.8444200	0.8383498	0.8504902	0.0447400	0.0420834	0.0473966
Erdos-Renyi	10	0.8447800	0.8385628	0.8509972	0.0457400	0.0432513	0.0482287
Erdos-Renyi	11	0.8447800	0.8382091	0.8513509	0.0440000	0.0415191	0.0464809
Erdos-Renyi	12	0.8472400	0.8411507	0.8533293	0.0435600	0.0409106	0.0462094
Erdos-Renyi	13	0.8463600	0.8400589	0.8526611	0.0440800	0.0418646	0.0462954
Erdos-Renyi	14	0.8454600	0.8380299	0.8528901	0.0465600	0.0435621	0.0495579
Erdos-Renyi	15	0.8447800	0.8380885	0.8514715	0.0441200	0.0417376	0.0465024
Erdos-Renyi	16	0.8485800	0.8418500	0.8553100	0.0434400	0.0409643	0.0459157
Erdos-Renyi	17	0.8460000	0.8383137	0.8536863	0.0458200	0.0431369	0.0485031
Erdos-Renyi	18	0.8441000	0.8368500	0.8513500	0.0452600	0.0423313	0.0481887
Erdos-Renyi	19	0.8446200	0.8368822	0.8523578	0.0458800	0.0437396	0.0480204
Erdos-Renyi	20	0.8432200	0.8354159	0.8510241	0.0468200	0.0441296	0.0495104
