model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
BUGGE	1	0.2658400	0.2641696	0.2675104	0.2658400	0.2641696	0.2675104
BUGGE	2	0.2959400	0.2780784	0.3138016	0.1814000	0.1388691	0.2239309
BUGGE	3	0.2984400	0.2812879	0.3155921	0.1849000	0.1345149	0.2352851
BUGGE	4	0.3125000	0.2927763	0.3322237	0.2690800	0.2086649	0.3294951
BUGGE	5	0.3217400	0.3013969	0.3420831	0.2904400	0.2271999	0.3536801
BUGGE	6	0.3376600	0.3164759	0.3588441	0.3300600	0.2645966	0.3955234
BUGGE	7	0.3135200	0.2968265	0.3302135	0.2702400	0.2072957	0.3331843
BUGGE	8	0.3256000	0.3070062	0.3441938	0.3074400	0.2421329	0.3727471
BUGGE	9	0.3251800	0.3083661	0.3419939	0.2830800	0.2193816	0.3467784
BUGGE	10	0.3363600	0.3183164	0.3544036	0.2658400	0.2007668	0.3309132
BUGGE	11	0.3505400	0.3311941	0.3698859	0.3153200	0.2457426	0.3848974
BUGGE	12	0.3355000	0.3183495	0.3526505	0.3005200	0.2323952	0.3686448
BUGGE	13	0.3381000	0.3211510	0.3550490	0.2595200	0.1938659	0.3251741
BUGGE	14	0.3284400	0.3151877	0.3416923	0.2715600	0.2047209	0.3383991
BUGGE	15	0.3454200	0.3285662	0.3622738	0.2616800	0.1950557	0.3283043
BUGGE	16	0.3508400	0.3337488	0.3679312	0.3087000	0.2372576	0.3801424
BUGGE	17	0.3480000	0.3322902	0.3637098	0.3019200	0.2315664	0.3722736
BUGGE	18	0.3504000	0.3334273	0.3673727	0.2554600	0.1901995	0.3207205
BUGGE	19	0.3456800	0.3306431	0.3607169	0.2323200	0.1677469	0.2968931
BUGGE	20	0.3542200	0.3387510	0.3696890	0.2451000	0.1793460	0.3108540
