abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0.7950377537902366	0.789382456297808	0.8006930512826651	0.7950377537902366	0.789382456297808	0.8006930512826651
0.8031457588203361	0.796906361528319	0.8093851561123533	0.7996211584424711	0.7947594688721522	0.8044828480127899
0.8150217432591206	0.8087267277857814	0.8213167587324598	0.8063595070463563	0.8006765810616124	0.8120424330311001
0.8098504837966601	0.803672315903006	0.8160286516903142	0.8099382217886135	0.803123919688758	0.8167525238884691
0.815377102156701	0.8092717525935555	0.8214824517198465	0.809259268357861	0.8034781996261103	0.8150403370896117
0.8203636979445146	0.8139427165636286	0.8267846793254006	0.814487790778623	0.8079443307202946	0.8210312508369514
0.8130789174080457	0.8065191889158538	0.8196386459002376	0.8118410109671078	0.8054549804741253	0.8182270414600903
0.8166686225016543	0.8102500778480417	0.8230871671552669	0.8114790140493388	0.8052579883621966	0.8177000397364809
0.8192461510153454	0.8128955299666581	0.8255967720640326	0.817284166019994	0.8107846500796542	0.8237836819603338
0.8202940465327843	0.8142825919933835	0.826305501072185	0.8199343822934261	0.8135263699087969	0.8263423946780553
0.8214508108537528	0.8157028445521227	0.8271987771553829	0.8153479451657192	0.809647124010398	0.8210487663210404
0.8215846039407404	0.8150495790691467	0.8281196288123341	0.8242205929152551	0.8181604511960784	0.8302807346344317
0.817531851723913	0.811884049714196	0.8231796537336299	0.8195839670286281	0.8136292091047015	0.8255387249525548
0.820907981497084	0.8149266782056496	0.8268892847885184	0.817929332969994	0.8118325385245396	0.8240261274154485
0.8233112496205653	0.8165777259830097	0.830044773258121	0.8229987373196866	0.8166824103278747	0.8293150643114986
0.8245890336755357	0.8182715908496485	0.8309064765014229	0.8245695372728572	0.8184021034047938	0.8307369711409206
0.8143241540983147	0.8084192674845336	0.8202290407120958	0.8191781897853911	0.8131893773495383	0.825167002221244
0.817610584913173	0.8110399664932975	0.8241812033330485	0.8180919201325003	0.8114895153673782	0.8246943248976224
0.8176631770269891	0.8115445242853052	0.823781829768673	0.8204194996639317	0.8136756937829834	0.8271633055448799
0.818165464422393	0.8111055136220037	0.8252254152227824	0.8198627022681275	0.8126614580129387	0.8270639465233164
